TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:10.7,,,,,7.99498,8.73227,9.0318,8.567
00:10.8,,,,,7.99498,8.70923,9.0318,8.61308
00:10.9,,,,,7.97194,8.70923,9.05484,8.567
00:11.0,,,,,7.99498,8.66315,9.00876,8.61308
00:11.1,,,,,7.97194,8.68619,9.0318,8.59004
00:11.2,,,,,8.01802,8.70923,9.10092,8.567
00:11.3,,,,,7.97194,8.68619,9.00876,8.61308
00:11.4,,,,,7.85674,8.73227,9.0318,8.567
00:11.5,,,,,7.90282,8.73227,9.0318,8.54396
00:11.6,,,,,8.01802,8.70923,9.0318,8.54396
00:11.7,,,,,7.99498,8.70923,8.96268,8.52092
00:11.8,,,,,7.92586,8.70923,9.0318,8.54396
00:11.9,,,,,8.04106,8.73227,9.00876,8.54396
00:12.0,,,,,7.9489,8.70923,9.19308,8.52092
00:12.1,,,,,7.97194,8.70923,9.12396,8.54396
00:12.2,,,,,7.99498,8.70923,9.17004,8.52092
00:12.3,,,,,7.92586,8.75531,9.12396,8.61308
00:12.4,,,,,7.92586,8.75531,9.17004,8.52092
00:12.5,,,,,7.99498,8.75531,9.10092,8.567
00:12.6,,,,,7.97194,8.73227,9.12396,8.52092
00:12.7,,,,,7.92586,8.75531,9.12396,8.54396
00:12.8,,,,,7.92586,8.68619,9.147,8.59004
00:12.9,,,,,7.92586,8.68619,9.12396,8.54396
00:13.0,,,,,7.97194,8.70923,9.147,8.567
00:13.1,,,,,7.92586,8.75531,9.12396,8.52092
00:13.2,,,,,7.9489,8.70923,9.19308,8.52092
00:13.3,,,,,7.9489,8.75531,9.19308,8.49788
00:13.4,,,,,8.01802,8.70923,9.147,8.52092
00:13.5,,,,,7.97194,8.73227,9.12396,8.54396
00:13.6,,,,,7.97194,8.66315,9.147,8.54396
00:13.7,,,,,8.01802,8.68619,9.10092,8.59004
00:13.8,,,,,7.97194,8.68619,9.19308,8.52092
00:13.9,,,,,7.99498,8.66315,9.147,8.49788
00:14.0,,,,,8.0641,8.66315,9.19308,8.567
00:14.1,,,,,7.99498,8.73227,9.05484,8.54396
00:14.2,,,,,7.97194,8.68619,9.147,8.52092
00:14.3,,,,,7.92586,8.66315,9.12396,8.59004
00:14.4,,,,,7.97194,8.68619,9.12396,8.567
00:14.5,,,,,7.97194,8.68619,9.12396,8.54396
00:14.6,,,,,7.97194,8.75531,9.147,8.567
00:14.7,,,,,7.9489,8.68619,9.12396,8.49788
00:14.8,,,,,7.97194,8.73227,9.10092,8.54396
00:14.9,,,,,7.90282,8.73227,9.17004,8.567
00:15.0,,,,,7.87978,8.66315,9.10092,8.59004
00:15.1,,,,,7.97194,8.70923,9.12396,8.49788
00:15.2,,,,,7.92586,8.73227,9.19308,8.49788
00:15.3,,,,,7.92586,8.75531,9.12396,8.54396
00:15.4,,,,,7.9489,8.73227,9.12396,8.52092
00:15.5,,,,,7.9489,8.66315,9.147,8.59004
00:15.6,,,,,7.97194,8.73227,9.19308,8.47484
00:15.7,,,,,7.9489,8.75531,9.10092,8.567
00:15.8,,,,,7.90282,8.68619,9.17004,8.49788
00:15.9,,,,,7.9489,8.68619,9.12396,8.54396
00:16.0,,,,,7.92586,8.70923,9.17004,8.52092
00:16.1,,,,,7.9489,8.66315,9.10092,8.52092
00:16.2,,,,,7.90282,8.70923,9.19308,8.49788
00:16.3,,,,,7.9489,8.68619,9.147,8.567
00:16.4,,,,,7.9489,8.73227,9.147,8.59004
00:16.5,,,,,7.92586,8.66315,9.10092,8.54396
00:16.6,,,,,7.92586,8.68619,9.12396,8.54396
00:16.7,,,,,8.04106,8.70923,9.12396,8.567
00:16.8,,,,,7.9489,8.70923,9.07788,8.49788
00:16.9,,,,,7.9489,8.70923,9.10092,8.52092
00:17.0,,,,,7.92586,8.70923,9.17004,8.54396
00:17.1,,,,,7.97194,8.70923,9.07788,8.49788
00:17.2,,,,,7.97194,8.70923,9.147,8.52092
00:17.3,,,,,7.92586,8.70923,9.10092,8.52092
00:17.4,,,,,7.9489,8.68619,9.12396,8.52092
00:17.5,,,,,7.92586,8.68619,9.147,8.567
00:17.6,,,,,7.9489,8.73227,9.147,8.52092
00:17.7,,,,,8.01802,8.66315,9.07788,8.54396
00:17.8,,,,,7.90282,8.68619,9.147,8.567
00:17.9,,,,,7.92586,8.70923,9.07788,8.567
00:18.0,,,,,7.9489,8.59403,9.10092,8.59004
00:18.1,,,,,7.9489,8.64011,9.07788,8.52092
00:18.2,,,,,7.9489,8.66315,9.10092,8.52092
00:18.3,,,,,7.97194,8.64011,9.10092,8.49788
00:18.4,,,,,7.99498,8.70923,9.10092,8.52092
00:18.5,,,,,7.97194,8.64011,9.12396,8.567
00:18.6,,,,,7.97194,8.75531,9.147,8.54396
00:18.7,,,,,7.99498,8.66315,9.12396,8.52092
00:18.8,,,,,7.97194,8.68619,9.10092,8.54396
00:18.9,,,,,7.90282,8.70923,9.10092,8.49788
00:19.0,,,,,7.97194,8.70923,9.147,8.52092
00:19.1,,,,,7.92586,8.66315,9.10092,8.54396
00:19.2,,,,,7.92586,8.68619,9.147,8.49788
00:19.3,,,,,7.99498,8.70923,9.19308,8.54396
00:19.4,,,,,7.92586,8.73227,9.17004,8.54396
00:19.5,,,,,7.92586,8.68619,9.17004,8.54396
00:19.6,,,,,7.99498,8.66315,9.12396,8.54396
00:19.7,,,,,7.9489,8.66315,9.07788,8.567
00:19.8,,,,,7.9489,8.73227,9.07788,8.47484
00:19.9,,,,,7.92586,8.66315,9.07788,8.52092
00:20.0,,,,,7.99498,8.70923,9.12396,8.59004
00:20.1,,,,,7.9489,8.70923,9.10092,8.49788
00:20.2,,,,,7.92586,8.77835,9.147,8.61308
00:20.3,,,,,7.97194,8.66315,9.07788,8.54396
00:20.4,,,,,7.90282,8.68619,9.147,8.47484
00:20.5,,,,,7.92586,8.70923,9.07788,8.54396
00:20.6,,,,,7.99498,8.70923,9.12396,8.61308
00:20.7,,,,,7.9489,8.61707,9.05484,8.54396
00:20.8,,,,,7.9489,8.64011,9.12396,8.52092
00:20.9,,,,,7.97194,8.70923,9.07788,8.567
00:21.0,,,,,7.99498,8.70923,9.147,8.49788
00:21.1,,,,,7.9489,8.66315,9.12396,8.49788
00:21.2,,,,,7.9489,8.68619,9.17004,8.54396
00:21.3,,,,,7.97194,8.66315,9.05484,8.52092
00:21.4,,,,,7.9489,8.68619,9.10092,8.567
00:21.5,,,,,7.97194,8.68619,9.05484,8.52092
00:21.6,,,,,7.92586,8.66315,9.147,8.52092
00:21.7,,,,,8.01802,8.68619,9.147,8.52092
00:21.8,,,,,7.97194,8.73227,9.07788,8.54396
00:21.9,,,,,7.90282,8.64011,9.07788,8.54396
00:22.0,,,,,7.97194,8.68619,9.07788,8.49788
00:22.1,,,,,7.99498,8.66315,9.12396,8.54396
00:22.2,,,,,7.9489,8.70923,9.10092,8.49788
00:22.3,,,,,7.97194,8.66315,9.10092,8.567
00:22.4,,,,,7.9489,8.68619,9.07788,8.52092
00:22.5,,,,,7.90282,8.68619,9.10092,8.49788
00:22.6,,,,,7.9489,8.66315,9.0318,8.54396
00:22.7,,,,,7.92586,8.66315,9.07788,8.49788
00:22.8,,,,,7.90282,8.68619,9.10092,8.52092
00:22.9,,,,,7.92586,8.66315,9.10092,8.49788
00:23.0,,,,,7.92586,8.61707,9.07788,8.49788
00:23.1,,,,,7.9489,8.70923,9.07788,8.54396
00:23.2,,,,,7.92586,8.66315,9.12396,8.47484
00:23.3,,,,,7.90282,8.70923,9.147,8.59004
00:23.4,,,,,8.01802,8.64011,9.07788,8.52092
00:23.5,,,,,7.90282,8.73227,9.07788,8.54396
00:23.6,,,,,7.92586,8.64011,9.10092,8.567
00:23.7,,,,,7.97194,8.70923,9.12396,8.54396
00:23.8,,,,,7.90282,8.66315,9.0318,8.54396
00:23.9,,,,,7.92586,8.66315,9.07788,8.52092
00:24.0,,,,,7.90282,8.70923,9.10092,8.65916
00:24.1,,,,,7.90282,8.61707,9.12396,8.52092
00:24.2,,,,,7.97194,8.66315,9.00876,8.54396
00:24.3,,,,,7.9489,8.64011,9.07788,8.567
00:24.4,,,,,7.99498,8.70923,9.07788,8.52092
00:24.5,,,,,7.92586,8.70923,9.12396,8.59004
00:24.6,,,,,7.92586,8.70923,9.0318,8.61308
00:24.7,,,,,7.9489,8.66315,9.05484,8.52092
00:24.8,,,,,7.92586,8.66315,9.07788,8.52092
00:24.9,,,,,7.9489,8.73227,9.12396,8.59004
00:25.0,,,,,7.9489,8.66315,9.05484,8.54396
00:25.1,,,,,7.92586,8.68619,9.10092,8.52092
00:25.2,,,,,7.81066,8.66315,9.0318,8.567
00:25.3,,,,,7.92586,8.66315,9.10092,8.54396
00:25.4,,,,,7.9489,8.68619,9.0318,8.49788
00:25.5,,,,,7.87978,8.70923,9.05484,8.54396
00:25.6,,,,,7.90282,8.61707,9.0318,8.49788
00:25.7,,,,,7.87978,8.66315,9.07788,8.52092
00:25.8,,,,,7.87978,8.68619,9.10092,8.54396
00:25.9,,,,,7.92586,8.66315,9.05484,8.49788
00:26.0,,,,,7.92586,8.64011,9.05484,8.52092
00:26.1,,,,,7.90282,8.61707,9.07788,8.49788
00:26.2,,,,,7.9489,8.66315,9.05484,8.47484
00:26.3,,,,,7.9489,8.64011,9.07788,8.54396
00:26.4,,,,,7.99498,8.68619,9.10092,8.54396
00:26.5,,,,,7.92586,8.64011,9.05484,8.567
00:26.6,,,,,7.90282,8.75531,9.07788,8.47484
00:26.7,,,,,7.97194,8.64011,9.07788,8.54396
00:26.8,,,,,7.92586,8.64011,9.07788,8.52092
00:26.9,,,,,7.90282,8.66315,9.147,8.47484
00:27.0,,,,,7.99498,8.68619,9.05484,8.52092
00:27.1,,,,,7.90282,8.68619,9.12396,8.54396
