TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:46.4,,,,,7.8337,8.61707,9.00876,8.47484
00:46.5,,,,,7.92586,8.61707,9.00876,8.52092
00:46.6,,,,,7.90282,8.61707,9.05484,8.47484
00:46.7,,,,,7.90282,8.61707,9.00876,8.47484
00:46.8,,,,,7.92586,8.64011,8.98572,8.49788
00:46.9,,,,,7.85674,8.66315,9.00876,8.49788
00:47.0,,,,,7.9489,8.64011,9.00876,8.47484
00:47.1,,,,,7.85674,8.66315,9.07788,8.42876
00:47.2,,,,,7.87978,8.70923,9.00876,8.47484
00:47.3,,,,,7.90282,8.61707,9.00876,8.4518
00:47.4,,,,,7.92586,8.61707,8.93964,8.47484
00:47.5,,,,,7.87978,8.68619,9.00876,8.54396
00:47.6,,,,,7.92586,8.66315,8.98572,8.49788
00:47.7,,,,,7.97194,8.59403,8.96268,8.47484
00:47.8,,,,,7.9489,8.64011,8.96268,8.47484
00:47.9,,,,,7.97194,8.61707,9.00876,8.47484
00:48.0,,,,,7.99498,8.68619,9.0318,8.40572
00:48.1,,,,,7.97194,8.61707,8.98572,8.49788
00:48.2,,,,,7.9489,8.66315,9.00876,8.49788
00:48.3,,,,,7.85674,8.61707,9.00876,8.52092
00:48.4,,,,,7.90282,8.73227,9.00876,8.52092
00:48.5,,,,,7.90282,8.64011,9.00876,8.47484
00:48.6,,,,,7.87978,8.64011,8.93964,8.54396
00:48.7,,,,,7.90282,8.64011,8.96268,8.54396
00:48.8,,,,,7.90282,8.64011,8.96268,8.52092
00:48.9,,,,,7.92586,8.68619,9.0318,8.49788
00:49.0,,,,,7.85674,8.61707,8.98572,8.567
00:49.1,,,,,7.9489,8.64011,9.00876,8.52092
00:49.2,,,,,7.92586,8.64011,8.98572,8.47484
00:49.3,,,,,7.9489,8.68619,9.00876,8.49788
00:49.4,,,,,7.92586,8.64011,9.00876,8.47484
00:49.5,,,,,7.85674,8.64011,9.00876,8.42876
00:49.6,,,,,7.90282,8.59403,8.96268,8.47484
00:49.7,,,,,7.92586,8.64011,8.96268,8.47484
00:49.8,,,,,7.90282,8.66315,9.00876,8.47484
00:49.9,,,,,7.87978,8.61707,8.93964,8.49788
00:50.0,,,,,7.92586,8.68619,9.0318,8.47484
00:50.1,,,,,7.85674,8.61707,8.96268,8.52092
00:50.2,,,,,7.9489,8.66315,9.0318,8.47484
00:50.3,,,,,7.87978,8.64011,9.00876,8.49788
00:50.4,,,,,7.9489,8.64011,9.0318,8.4518
00:50.5,,,,,7.85674,8.64011,8.96268,8.42876
00:50.6,,,,,7.85674,8.66315,9.0318,8.47484
00:50.7,,,,,7.87978,8.61707,9.0318,8.4518
00:50.8,,,,,7.87978,8.68619,8.98572,8.54396
00:50.9,,,,,7.85674,8.70923,8.96268,8.47484
00:51.0,,,,,7.92586,8.61707,9.07788,8.4518
00:51.1,,,,,7.92586,8.70923,8.96268,8.49788
00:51.2,,,,,7.87978,8.64011,9.00876,8.40572
00:51.3,,,,,7.90282,8.64011,8.96268,8.47484
00:51.4,,,,,7.87978,8.64011,9.00876,8.47484
00:51.5,,,,,7.87978,8.66315,9.0318,8.47484
00:51.6,,,,,7.85674,8.64011,9.00876,8.54396
00:51.7,,,,,7.85674,8.66315,8.96268,8.59004
00:51.8,,,,,7.87978,8.68619,9.00876,8.54396
00:51.9,,,,,7.87978,8.64011,8.96268,8.49788
00:52.0,,,,,7.85674,8.61707,8.96268,8.47484
00:52.1,,,,,7.92586,8.61707,8.96268,8.49788
00:52.2,,,,,7.87978,8.61707,8.98572,8.4518
00:52.3,,,,,7.90282,8.57099,8.96268,8.49788
00:52.4,,,,,7.90282,8.64011,8.98572,8.42876
00:52.5,,,,,7.92586,8.68619,8.96268,8.49788
00:52.6,,,,,7.87978,8.66315,9.00876,8.4518
00:52.7,,,,,7.87978,8.61707,8.96268,8.42876
00:52.8,,,,,7.87978,8.64011,9.00876,8.42876
00:52.9,,,,,7.92586,8.64011,9.00876,8.42876
00:53.0,,,,,7.87978,8.66315,9.00876,8.49788
00:53.1,,,,,7.87978,8.59403,8.96268,8.47484
00:53.2,,,,,7.8337,8.66315,8.98572,8.4518
00:53.3,,,,,7.90282,8.61707,8.98572,8.54396
00:53.4,,,,,7.87978,8.68619,8.98572,8.4518
00:53.5,,,,,7.92586,8.61707,8.96268,8.4518
00:53.6,,,,,7.87978,8.64011,9.0318,8.52092
00:53.7,,,,,7.90282,8.61707,8.93964,8.42876
00:53.8,,,,,7.85674,8.64011,9.00876,8.4518
00:53.9,,,,,7.8337,8.70923,8.98572,8.47484
00:54.0,,,,,7.81066,8.59403,8.96268,8.4518
00:54.1,,,,,7.87978,8.61707,8.98572,8.4518
00:54.2,,,,,7.85674,8.66315,9.00876,8.54396
00:54.3,,,,,7.90282,8.68619,8.9166,8.47484
00:54.4,,,,,7.92586,8.59403,8.98572,8.54396
00:54.5,,,,,7.87978,8.59403,8.98572,8.4518
00:54.6,,,,,7.85674,8.64011,9.00876,8.52092
00:54.7,,,,,7.85674,8.66315,8.96268,8.4518
00:54.8,,,,,7.85674,8.64011,8.98572,8.4518
00:54.9,,,,,7.87978,8.61707,8.96268,8.4518
00:55.0,,,,,7.87978,8.59403,9.00876,8.47484
00:55.1,,,,,7.87978,8.64011,8.93964,8.47484
00:55.2,,,,,7.85674,8.61707,8.96268,8.4518
00:55.3,,,,,7.90282,8.59403,9.0318,8.4518
00:55.4,,,,,7.8337,8.59403,9.00876,8.38268
00:55.5,,,,,7.85674,8.66315,9.0318,8.47484
00:55.6,,,,,7.90282,8.61707,8.96268,8.4518
00:55.7,,,,,7.92586,8.64011,8.98572,8.40572
00:55.8,,,,,7.85674,8.61707,8.98572,8.42876
00:55.9,,,,,7.87978,8.66315,8.98572,8.42876
00:56.0,,,,,7.90282,8.61707,8.96268,8.42876
00:56.1,,,,,7.87978,8.66315,9.00876,8.4518
00:56.2,,,,,7.90282,8.64011,8.96268,8.4518
00:56.3,,,,,7.87978,8.68619,8.96268,8.47484
00:56.4,,,,,7.87978,8.61707,8.96268,8.42876
00:56.5,,,,,7.81066,8.64011,8.98572,8.4518
00:56.6,,,,,7.85674,8.64011,8.96268,8.42876
00:56.7,,,,,7.87978,8.70923,9.00876,8.47484
00:56.8,,,,,7.87978,8.59403,8.98572,8.47484
00:56.9,,,,,7.8337,8.64011,8.98572,8.4518
00:57.0,,,,,7.8337,8.64011,8.9166,8.49788
00:57.1,,,,,7.92586,8.66315,8.96268,8.4518
00:57.2,,,,,7.85674,8.66315,8.96268,8.42876
00:57.3,,,,,7.8337,8.64011,8.96268,8.4518
00:57.4,,,,,7.85674,8.64011,8.93964,8.4518
00:57.5,,,,,7.87978,8.61707,8.93964,8.47484
00:57.6,,,,,7.90282,8.66315,9.00876,8.47484
00:57.7,,,,,7.87978,8.64011,8.96268,8.49788
00:57.8,,,,,7.85674,8.61707,8.98572,8.47484
00:57.9,,,,,7.87978,8.64011,9.00876,8.47484
00:58.0,,,,,7.85674,8.68619,9.0318,8.42876
00:58.1,,,,,7.8337,8.64011,9.00876,8.47484
00:58.2,,,,,7.92586,8.64011,8.96268,8.4518
00:58.3,,,,,7.85674,8.59403,8.96268,8.47484
00:58.4,,,,,7.87978,8.64011,9.00876,8.38268
00:58.5,,,,,7.85674,8.57099,9.00876,8.4518
00:58.6,,,,,7.8337,8.61707,9.00876,8.49788
00:58.7,,,,,7.8337,8.61707,8.98572,8.4518
00:58.8,,,,,7.87978,8.66315,8.93964,8.4518
00:58.9,,,,,7.87978,8.57099,9.00876,8.4518
00:59.0,,,,,7.85674,8.64011,8.98572,8.4518
00:59.1,,,,,7.76458,8.66315,8.98572,8.42876
00:59.2,,,,,7.85674,8.68619,8.98572,8.4518
00:59.3,,,,,7.85674,8.61707,8.98572,8.47484
00:59.4,,,,,7.81066,8.61707,8.96268,8.54396
00:59.5,,,,,7.90282,8.61707,8.98572,8.47484
00:59.6,,,,,7.92586,8.61707,8.9166,8.47484
00:59.7,,,,,7.87978,8.66315,8.98572,8.49788
00:59.8,,,,,7.92586,8.66315,8.98572,8.38268
00:59.9,,,,,7.85674,8.64011,8.96268,8.4518
01:00.0,,,,,7.85674,8.64011,8.93964,8.47484
01:00.1,,,,,7.92586,8.68619,8.96268,8.42876
01:00.2,,,,,7.8337,8.59403,8.93964,8.49788
01:00.3,,,,,7.92586,8.61707,8.98572,8.4518
01:00.4,,,,,7.8337,8.64011,8.93964,8.4518
01:00.5,,,,,7.87978,8.66315,8.98572,8.42876
01:00.6,,,,,7.8337,8.64011,8.98572,8.4518
01:00.7,,,,,7.8337,8.64011,9.00876,8.4518
01:00.8,,,,,7.85674,8.61707,8.98572,8.4518
01:00.9,,,,,7.85674,8.64011,8.98572,8.4518
01:01.0,,,,,7.90282,8.61707,9.0318,8.47484
01:01.1,,,,,7.90282,8.59403,8.98572,8.4518
01:01.2,,,,,7.87978,8.64011,8.93964,8.52092
01:01.3,,,,,7.85674,8.66315,8.93964,8.4518
01:01.4,,,,,7.85674,8.66315,8.98572,8.49788
01:01.5,,,,,7.90282,8.64011,8.93964,8.4518
01:01.6,,,,,7.92586,8.61707,9.00876,8.4518
01:01.7,,,,,7.87978,8.70923,8.93964,8.47484
01:01.8,,,,,7.87978,8.66315,8.98572,8.52092
01:01.9,,,,,7.85674,8.66315,8.98572,8.47484
01:02.0,,,,,7.85674,8.59403,8.93964,8.4518
01:02.1,,,,,7.87978,8.64011,8.9166,8.54396
01:02.2,,,,,7.87978,8.61707,8.98572,8.4518
01:02.3,,,,,7.9489,8.61707,8.93964,8.47484
01:02.4,,,,,7.85674,8.64011,8.96268,8.47484
01:02.5,,,,,7.92586,8.61707,8.96268,8.4518
01:02.6,,,,,7.87978,8.64011,8.9166,8.40572
01:02.7,,,,,7.87978,8.61707,8.98572,8.38268
01:02.8,,,,,7.85674,8.64011,8.93964,8.4518
01:02.9,,,,,7.87978,8.64011,8.9166,8.49788
01:03.0,,,,,7.90282,8.68619,9.00876,8.4518
01:03.1,,,,,7.90282,8.59403,8.98572,8.47484
01:03.2,,,,,7.87978,8.66315,8.9166,8.42876
01:03.3,,,,,7.85674,8.57099,8.96268,8.42876
01:03.4,,,,,7.85674,8.70923,8.96268,8.4518
01:03.5,,,,,7.90282,8.61707,8.98572,8.4518
01:03.6,,,,,7.81066,8.66315,8.96268,8.4518
01:03.7,,,,,7.8337,8.64011,9.00876,8.42876
01:03.8,,,,,7.90282,8.64011,8.96268,8.49788
01:03.9,,,,,7.81066,8.66315,8.96268,8.42876
01:04.0,,,,,7.9489,8.66315,9.00876,8.4518
01:04.1,,,,,7.85674,8.61707,9.00876,8.52092
01:04.2,,,,,7.8337,8.66315,9.00876,8.47484
01:04.3,,,,,7.85674,8.59403,8.98572,8.4518
01:04.4,,,,,7.8337,8.64011,8.98572,8.52092
01:04.5,,,,,7.85674,8.64011,8.98572,8.4518
01:04.6,,,,,7.92586,8.64011,8.93964,8.52092
01:04.7,,,,,7.90282,8.59403,9.00876,8.54396
01:04.8,,,,,7.8337,8.64011,8.89356,8.49788
01:04.9,,,,,7.85674,8.64011,8.93964,8.52092
01:05.0,,,,,7.90282,8.66315,8.98572,8.567
01:05.1,,,,,7.87978,8.61707,8.96268,8.52092
01:05.2,,,,,7.85674,8.66315,8.9166,8.49788
01:05.3,,,,,7.8337,8.61707,8.98572,8.49788
01:05.4,,,,,7.92586,8.68619,8.93964,8.49788
01:05.5,,,,,7.8337,8.64011,9.00876,8.47484
01:05.6,,,,,7.8337,8.64011,8.98572,8.52092
01:05.7,,,,,7.78762,8.66315,8.9166,8.38268
01:05.8,,,,,7.8337,8.61707,8.98572,8.47484
01:05.9,,,,,7.92586,8.68619,8.98572,8.47484
01:06.0,,,,,7.85674,8.61707,8.9166,8.49788
01:06.1,,,,,7.90282,8.64011,8.96268,8.40572
01:06.2,,,,,7.85674,8.59403,8.93964,8.4518
01:06.3,,,,,7.85674,8.66315,8.96268,8.49788
01:06.4,,,,,7.87978,8.64011,8.9166,8.40572
01:06.5,,,,,7.85674,8.64011,8.89356,8.4518
01:06.6,,,,,7.90282,8.66315,8.93964,8.47484
01:06.7,,,,,7.92586,8.64011,9.00876,8.47484
01:06.8,,,,,7.87978,8.61707,8.93964,8.47484
01:06.9,,,,,7.87978,8.59403,8.93964,8.47484
01:07.0,,,,,7.90282,8.61707,8.98572,8.49788
01:07.1,,,,,7.87978,8.66315,8.96268,8.42876
01:07.2,,,,,7.85674,8.70923,8.9166,8.47484
01:07.3,,,,,7.9489,8.66315,8.96268,8.47484
01:07.4,,,,,7.87978,8.64011,8.93964,8.42876
01:07.5,,,,,7.85674,8.61707,8.9166,8.49788
01:07.6,,,,,7.87978,8.66315,9.00876,8.52092
01:07.7,,,,,7.85674,8.68619,8.93964,8.54396
01:07.8,,,,,7.90282,8.64011,8.98572,8.42876
01:07.9,,,,,7.90282,8.64011,8.96268,8.49788
01:08.0,,,,,7.9489,8.68619,9.00876,8.52092
01:08.1,,,,,7.87978,8.66315,8.93964,8.4518
01:08.2,,,,,7.85674,8.66315,8.9166,8.47484
01:08.3,,,,,7.90282,8.64011,8.96268,8.47484
01:08.4,,,,,7.87978,8.66315,9.00876,8.49788
01:08.5,,,,,7.85674,8.68619,8.9166,8.567
01:08.6,,,,,7.92586,8.61707,8.93964,8.4518
01:08.7,,,,,7.87978,8.66315,8.98572,8.4518
01:08.8,,,,,7.9489,8.66315,8.89356,8.49788
01:08.9,,,,,7.90282,8.64011,8.93964,8.54396
01:09.0,,,,,7.92586,8.59403,8.89356,8.567
01:09.1,,,,,7.9489,8.61707,8.98572,8.52092
01:09.2,,,,,7.97194,8.61707,9.00876,8.4518
01:09.3,,,,,8.04106,8.68619,8.96268,8.49788
01:09.4,,,,,7.92586,8.59403,8.96268,8.49788
01:09.5,,,,,7.8337,8.66315,8.93964,8.47484
01:09.6,,,,,7.87978,8.66315,8.87052,8.54396
01:09.7,,,,,7.90282,8.66315,8.93964,8.49788
01:09.8,,,,,7.85674,8.64011,8.9166,8.52092
01:09.9,,,,,7.9489,8.61707,8.96268,8.54396
01:10.0,,,,,7.90282,8.61707,8.93964,8.47484
01:10.1,,,,,7.87978,8.66315,8.93964,8.47484
01:10.2,,,,,7.90282,8.64011,8.96268,8.52092
01:10.3,,,,,7.92586,8.64011,9.0318,8.4518
01:10.4,,,,,7.87978,8.61707,8.96268,8.4518
01:10.5,,,,,7.92586,8.59403,8.87052,8.52092
01:10.6,,,,,7.87978,8.64011,8.9166,8.4518
01:10.7,,,,,7.90282,8.64011,8.96268,8.47484
01:10.8,,,,,7.90282,8.59403,8.89356,8.4518
01:10.9,,,,,7.90282,8.64011,8.9166,8.52092
01:11.0,,,,,7.92586,8.66315,8.93964,8.52092
01:11.1,,,,,7.92586,8.57099,8.9166,8.4518
01:11.2,,,,,7.92586,8.64011,8.9166,8.47484
01:11.3,,,,,7.92586,8.61707,8.93964,8.42876
01:11.4,,,,,7.9489,8.68619,9.00876,8.47484
01:11.5,,,,,7.87978,8.61707,8.93964,8.52092
01:11.6,,,,,7.90282,8.66315,9.00876,8.47484
01:11.7,,,,,7.92586,8.61707,8.93964,8.47484
01:11.8,,,,,7.92586,8.64011,8.98572,8.42876
01:11.9,,,,,7.92586,8.64011,8.93964,8.52092
01:12.0,,,,,7.99498,8.59403,8.93964,8.42876
01:12.1,,,,,7.92586,8.68619,8.93964,8.40572
01:12.2,,,,,7.90282,8.64011,8.98572,8.49788
01:12.3,,,,,7.90282,8.66315,8.98572,8.4518
01:12.4,,,,,7.97194,8.59403,8.9166,8.49788
01:12.5,,,,,7.92586,8.66315,8.96268,8.4518
01:12.6,,,,,7.9489,8.59403,8.98572,8.52092
01:12.7,,,,,7.9489,8.59403,8.98572,8.4518
01:12.8,,,,,7.90282,8.64011,8.96268,8.47484
01:12.9,,,,,7.97194,8.66315,8.9166,8.49788
01:13.0,,,,,7.97194,8.64011,9.00876,8.42876
01:13.1,,,,,7.92586,8.59403,8.93964,8.49788
01:13.2,,,,,7.92586,8.61707,9.00876,8.4518
01:13.3,,,,,7.97194,8.59403,8.9166,8.47484
01:13.4,,,,,7.9489,8.57099,8.93964,8.42876
01:13.5,,,,,7.9489,8.70923,8.9166,8.47484
01:13.6,,,,,7.92586,8.68619,8.96268,8.54396
01:13.7,,,,,7.87978,8.61707,8.93964,8.47484
01:13.8,,,,,7.90282,8.61707,8.9166,8.42876
01:13.9,,,,,7.8337,8.68619,8.89356,8.47484
01:14.0,,,,,7.8337,8.59403,8.96268,8.42876
01:14.1,,,,,7.85674,8.66315,8.93964,8.49788
01:14.2,,,,,7.8337,8.59403,8.96268,8.567
01:14.3,,,,,7.87978,8.59403,8.93964,8.567
01:14.4,,,,,7.87978,8.61707,8.93964,8.47484
01:14.5,,,,,7.87978,8.61707,8.98572,8.52092
01:14.6,,,,,7.85674,8.59403,8.9166,8.42876
01:14.7,,,,,7.90282,8.66315,8.9166,8.4518
01:14.8,,,,,7.87978,8.66315,8.93964,8.47484
01:14.9,,,,,7.90282,8.59403,9.00876,8.42876
01:15.0,,,,,7.92586,8.61707,8.89356,8.40572
01:15.1,,,,,7.8337,8.64011,8.89356,8.52092
01:15.2,,,,,7.92586,8.68619,8.9166,8.42876
01:15.3,,,,,7.90282,8.57099,8.93964,8.47484
01:15.4,,,,,7.87978,8.61707,8.9166,8.42876
01:15.5,,,,,7.90282,8.61707,8.93964,8.49788
01:15.6,,,,,7.87978,8.66315,8.9166,8.40572
01:15.7,,,,,7.92586,8.59403,8.93964,8.49788
01:15.8,,,,,7.92586,8.61707,8.89356,8.47484
01:15.9,,,,,7.90282,8.61707,8.96268,8.42876
01:16.0,,,,,7.90282,8.64011,8.93964,8.42876
01:16.1,,,,,7.92586,8.66315,8.93964,8.47484
01:16.2,,,,,7.87978,8.64011,8.9166,8.49788
01:16.3,,,,,7.87978,8.61707,8.96268,8.49788
01:16.4,,,,,7.92586,8.66315,9.00876,8.42876
01:16.5,,,,,7.92586,8.61707,8.96268,8.52092
01:16.6,,,,,7.87978,8.66315,8.9166,8.40572
01:16.7,,,,,7.81066,8.61707,8.96268,8.4518
01:16.8,,,,,7.97194,8.66315,8.9166,8.49788
01:16.9,,,,,7.85674,8.64011,8.96268,8.49788
01:17.0,,,,,7.87978,8.59403,8.89356,8.52092
01:17.1,,,,,7.97194,8.59403,8.9166,8.47484
01:17.2,,,,,7.9489,8.61707,8.93964,8.54396
01:17.3,,,,,7.97194,8.70923,8.9166,8.40572
01:17.4,,,,,7.99498,8.64011,8.96268,8.47484
01:17.5,,,,,7.87978,8.64011,8.89356,8.49788
01:17.6,,,,,7.9489,8.59403,9.00876,8.42876
01:17.7,,,,,7.90282,8.68619,8.93964,8.42876
01:17.8,,,,,7.92586,8.59403,8.96268,8.4518
01:17.9,,,,,7.90282,8.64011,8.98572,8.40572
01:18.0,,,,,7.92586,8.61707,8.9166,8.4518
01:18.1,,,,,7.85674,8.66315,8.93964,8.47484
01:18.2,,,,,7.85674,8.61707,8.96268,8.47484
01:18.3,,,,,7.87978,8.59403,8.96268,8.40572
01:18.4,,,,,7.85674,8.61707,8.93964,8.4518
01:18.5,,,,,7.97194,8.61707,8.89356,8.54396
01:18.6,,,,,7.87978,8.68619,9.0318,8.4518
01:18.7,,,,,7.97194,8.59403,8.87052,8.4518
01:18.8,,,,,7.99498,8.61707,8.93964,8.4518
01:18.9,,,,,7.90282,8.64011,8.9166,8.49788
01:19.0,,,,,7.90282,8.66315,8.93964,8.4518
01:19.1,,,,,7.90282,8.59403,9.00876,8.40572
01:19.2,,,,,7.92586,8.61707,8.93964,8.49788
01:19.3,,,,,7.90282,8.64011,8.93964,8.42876
01:19.4,,,,,7.87978,8.64011,8.93964,8.42876
01:19.5,,,,,7.90282,8.59403,8.98572,8.42876
01:19.6,,,,,7.85674,8.61707,8.84747,8.42876
01:19.7,,,,,7.8337,8.64011,8.93964,8.4518
01:19.8,,,,,7.8337,8.66315,8.9166,8.42876
01:19.9,,,,,7.97194,8.64011,8.93964,8.47484
01:20.0,,,,,7.85674,8.68619,8.9166,8.47484
01:20.1,,,,,7.90282,8.64011,8.98572,8.49788
01:20.2,,,,,7.85674,8.61707,8.9166,8.49788
01:20.3,,,,,7.8337,8.61707,8.89356,8.54396
01:20.4,,,,,7.90282,8.61707,8.89356,8.47484
01:20.5,,,,,7.85674,8.59403,8.9166,8.54396
01:20.6,,,,,7.87978,8.61707,8.89356,8.40572
01:20.7,,,,,7.97194,8.64011,8.87052,8.42876
01:20.8,,,,,7.97194,8.61707,8.9166,8.49788
01:20.9,,,,,7.9489,8.66315,8.98572,8.567
01:21.0,,,,,7.92586,8.61707,8.96268,8.567
01:21.1,,,,,7.87978,8.68619,8.89356,8.567
01:21.2,,,,,7.90282,8.70923,8.9166,8.567
01:21.3,,,,,7.87978,8.59403,8.89356,8.52092
01:21.4,,,,,7.8337,8.64011,8.89356,8.4518
01:21.5,,,,,7.92586,8.59403,8.89356,8.49788
01:21.6,,,,,7.90282,8.66315,8.87052,8.49788
01:21.7,,,,,7.85674,8.59403,8.80139,8.42876
01:21.8,,,,,7.9489,8.59403,8.84747,8.49788
01:21.9,,,,,7.87978,8.61707,8.89356,8.42876
01:22.0,,,,,7.92586,8.61707,8.87052,8.42876
01:22.1,,,,,7.87978,8.64011,8.82443,8.52092
01:22.2,,,,,7.85674,8.64011,8.93964,8.47484
01:22.3,,,,,7.85674,8.59403,8.80139,8.47484
01:22.4,,,,,7.8337,8.61707,8.87052,8.42876
01:22.5,,,,,7.9489,8.61707,8.89356,8.42876
01:22.6,,,,,7.85674,8.59403,8.82443,8.4518
01:22.7,,,,,7.78762,8.59403,8.84747,8.47484
01:22.8,,,,,7.87978,8.57099,8.87052,8.47484
01:22.9,,,,,7.85674,8.66315,8.82443,8.4518
01:23.0,,,,,7.90282,8.61707,8.80139,8.4518
01:23.1,,,,,7.90282,8.61707,8.84747,8.4518
01:23.2,,,,,7.85674,8.61707,8.80139,8.40572
01:23.3,,,,,7.87978,8.64011,8.80139,8.4518
01:23.4,,,,,7.87978,8.64011,8.87052,8.40572
01:23.5,,,,,7.90282,8.59403,8.77835,8.4518
01:23.6,,,,,7.87978,8.61707,8.80139,8.40572
01:23.7,,,,,7.87978,8.59403,8.82443,8.4518
01:23.8,,,,,7.87978,8.66315,8.87052,8.4518
01:23.9,,,,,7.90282,8.59403,8.80139,8.4518
01:24.0,,,,,7.90282,8.59403,8.82443,8.567
01:24.1,,,,,7.9489,8.61707,8.80139,8.47484
01:24.2,,,,,7.90282,8.66315,8.87052,8.4518
01:24.3,,,,,7.85674,8.59403,8.82443,8.4518
01:24.4,,,,,7.8337,8.68619,8.80139,8.35964
01:24.5,,,,,7.81066,8.57099,8.84747,8.52092
01:24.6,,,,,7.92586,8.66315,8.84747,8.4518
01:24.7,,,,,7.90282,8.59403,8.80139,8.49788
01:24.8,,,,,7.90282,8.64011,8.77835,8.42876
01:24.9,,,,,7.85674,8.59403,8.77835,8.4518
01:25.0,,,,,7.81066,8.59403,8.82443,8.4518
01:25.1,,,,,7.81066,8.64011,8.77835,8.4518
01:25.2,,,,,7.85674,8.64011,8.82443,8.47484
01:25.3,,,,,7.85674,8.61707,8.75531,8.47484
01:25.4,,,,,7.81066,8.59403,8.87052,8.47484
01:25.5,,,,,7.90282,8.64011,8.82443,8.54396
01:25.6,,,,,7.85674,8.64011,8.77835,8.52092
01:25.7,,,,,7.90282,8.61707,8.84747,8.38268
01:25.8,,,,,7.87978,8.64011,8.84747,8.4518
01:25.9,,,,,7.85674,8.61707,8.80139,8.42876
01:26.0,,,,,7.85674,8.66315,8.9166,8.42876
01:26.1,,,,,7.87978,8.59403,8.82443,8.52092
01:26.2,,,,,7.85674,8.61707,8.80139,8.47484
01:26.3,,,,,7.8337,8.68619,8.80139,8.47484
01:26.4,,,,,7.92586,8.64011,8.82443,8.42876
01:26.5,,,,,7.8337,8.57099,8.80139,8.4518
01:26.6,,,,,7.92586,8.57099,8.77835,8.4518
01:26.7,,,,,7.85674,8.64011,8.89356,8.4518
01:26.8,,,,,7.90282,8.61707,8.84747,8.47484
01:26.9,,,,,7.87978,8.57099,8.82443,8.38268
01:27.0,,,,,7.87978,8.61707,8.82443,8.49788
01:27.1,,,,,7.8337,8.61707,8.77835,8.38268
01:27.2,,,,,7.85674,8.66315,8.82443,8.42876
01:27.3,,,,,7.85674,8.61707,8.82443,8.49788
01:27.4,,,,,7.90282,8.59403,8.77835,8.42876
01:27.5,,,,,7.85674,8.59403,8.84747,8.40572
01:27.6,,,,,7.87978,8.64011,8.80139,8.38268
01:27.7,,,,,7.85674,8.64011,8.77835,8.4518
01:27.8,,,,,7.85674,8.57099,8.84747,8.47484
01:27.9,,,,,7.9489,8.64011,8.82443,8.42876
01:28.0,,,,,7.8337,8.59403,8.80139,8.52092
01:28.1,,,,,7.87978,8.68619,8.82443,8.4518
01:28.2,,,,,7.8337,8.57099,8.77835,8.42876
01:28.3,,,,,7.87978,8.64011,8.82443,8.42876
01:28.4,,,,,7.8337,8.59403,8.84747,8.4518
01:28.5,,,,,7.85674,8.64011,8.84747,8.49788
01:28.6,,,,,7.9489,8.64011,8.77835,8.4518
01:28.7,,,,,7.87978,8.59403,8.84747,8.47484
01:28.8,,,,,7.90282,8.61707,8.80139,8.47484
01:28.9,,,,,7.8337,8.61707,8.84747,8.47484
01:29.0,,,,,7.87978,8.66315,8.87052,8.49788
01:29.1,,,,,7.87978,8.66315,8.77835,8.47484
01:29.2,,,,,7.85674,8.64011,8.84747,8.52092
01:29.3,,,,,7.87978,8.59403,8.80139,8.61308
01:29.4,,,,,7.87978,8.59403,8.84747,8.54396
01:29.5,,,,,7.87978,8.64011,8.84747,8.61308
01:29.6,,,,,7.92586,8.57099,8.84747,8.54396
01:29.7,,,,,7.90282,8.64011,8.82443,8.54396
01:29.8,,,,,7.87978,8.66315,8.80139,8.54396
01:29.9,,,,,7.90282,8.68619,8.89356,8.47484
01:30.0,,,,,7.87978,8.59403,8.77835,8.42876
01:30.1,,,,,7.8337,8.61707,8.93964,8.4518
01:30.2,,,,,7.87978,8.64011,8.89356,8.47484
01:30.3,,,,,7.85674,8.61707,8.89356,8.4518
01:30.4,,,,,7.8337,8.59403,8.89356,8.49788
01:30.5,,,,,7.8337,8.66315,8.84747,8.38268
01:30.6,,,,,7.85674,8.64011,8.9166,8.4518
01:30.7,,,,,7.9489,8.64011,8.89356,8.42876
01:30.8,,,,,7.90282,8.61707,8.9166,8.4518
01:30.9,,,,,7.81066,8.61707,8.82443,8.4518
01:31.0,,,,,7.8337,8.59403,8.89356,8.4518
01:31.1,,,,,7.87978,8.66315,8.82443,8.4518
01:31.2,,,,,7.90282,8.61707,8.87052,8.42876
01:31.3,,,,,7.90282,8.61707,8.84747,8.4518
01:31.4,,,,,7.92586,8.61707,8.87052,8.49788
01:31.5,,,,,7.8337,8.64011,8.89356,8.47484
01:31.6,,,,,7.8337,8.64011,8.89356,8.40572
01:31.7,,,,,7.8337,8.57099,8.84747,8.52092
01:31.8,,,,,7.92586,8.61707,8.93964,8.42876
01:31.9,,,,,7.87978,8.61707,8.84747,8.42876
01:32.0,,,,,7.87978,8.68619,8.9166,8.49788
01:32.1,,,,,7.87978,8.66315,8.96268,8.42876
01:32.2,,,,,7.87978,8.59403,8.84747,8.47484
01:32.3,,,,,7.85674,8.61707,8.84747,8.42876
01:32.4,,,,,7.81066,8.66315,8.87052,8.4518
01:32.5,,,,,7.87978,8.66315,8.93964,8.54396
01:32.6,,,,,7.81066,8.59403,8.82443,8.4518
01:32.7,,,,,7.8337,8.59403,8.87052,8.4518
01:32.8,,,,,7.87978,8.64011,8.89356,8.4518
