TimeStamp_n,,Specification,Unit,Value_mA,Value_A,,TimeStamp_N
19:38.5,->,current ,ma,7994.98,7.99498,,00:10.700
19:38.6,->,current ,ma,7971.94,7.97194,,00:10.800
19:38.7,->,current ,ma,7948.9,7.9489,,00:10.900
19:38.8,->,current ,ma,7994.98,7.99498,,00:11.000
19:38.9,->,current ,ma,7994.98,7.99498,,00:11.100
19:39.1,->,current ,ma,7971.94,7.97194,,00:11.200
19:39.2,->,current ,ma,7994.98,7.99498,,00:11.300
19:39.3,->,current ,ma,7971.94,7.97194,,00:11.400
19:39.4,->,current ,ma,8018.02,8.01802,,00:11.500
19:39.5,->,current ,ma,7971.94,7.97194,,00:11.600
19:39.7,->,current ,ma,7856.74,7.85674,,00:11.700
19:39.8,->,current ,ma,7902.82,7.90282,,00:11.800
19:39.9,->,current ,ma,8018.02,8.01802,,00:11.900
19:40.0,->,current ,ma,7994.98,7.99498,,00:12.000
19:40.2,->,current ,ma,7925.86,7.92586,,00:12.100
19:40.3,->,current ,ma,8041.06,8.04106,,00:12.200
19:40.4,->,current ,ma,7948.9,7.9489,,00:12.300
19:40.5,->,current ,ma,7971.94,7.97194,,00:12.400
19:40.6,->,current ,ma,7994.98,7.99498,,00:12.500
19:40.8,->,current ,ma,7925.86,7.92586,,00:12.600
19:40.9,->,current ,ma,7925.86,7.92586,,00:12.700
19:41.0,->,current ,ma,7994.98,7.99498,,00:12.800
19:41.1,->,current ,ma,7971.94,7.97194,,00:12.900
19:41.2,->,current ,ma,7925.86,7.92586,,00:13.000
19:41.4,->,current ,ma,7925.86,7.92586,,00:13.100
19:41.5,->,current ,ma,7925.86,7.92586,,00:13.200
19:41.6,->,current ,ma,7971.94,7.97194,,00:13.300
19:41.7,->,current ,ma,7925.86,7.92586,,00:13.400
19:41.9,->,current ,ma,7948.9,7.9489,,00:13.500
19:41.9,->,current ,ma,7948.9,7.9489,,00:13.600
19:42.1,->,current ,ma,8018.02,8.01802,,00:13.700
19:42.2,->,current ,ma,7971.94,7.97194,,00:13.800
19:42.3,->,current ,ma,7971.94,7.97194,,00:13.900
19:42.4,->,current ,ma,8018.02,8.01802,,00:14.000
19:42.6,->,current ,ma,7971.94,7.97194,,00:14.100
19:42.7,->,current ,ma,7994.98,7.99498,,00:14.200
19:42.8,->,current ,ma,8064.1,8.0641,,00:14.300
19:43.0,->,current ,ma,7994.98,7.99498,,00:14.400
19:43.1,->,current ,ma,7971.94,7.97194,,00:14.500
19:43.2,->,current ,ma,7925.86,7.92586,,00:14.600
19:43.3,->,current ,ma,7971.94,7.97194,,00:14.700
19:43.4,->,current ,ma,7971.94,7.97194,,00:14.800
19:43.6,->,current ,ma,7971.94,7.97194,,00:14.900
19:43.7,->,current ,ma,7948.9,7.9489,,00:15.000
19:43.8,->,current ,ma,7971.94,7.97194,,00:15.100
19:43.9,->,current ,ma,7902.82,7.90282,,00:15.200
19:44.0,->,current ,ma,7879.78,7.87978,,00:15.300
19:44.1,->,current ,ma,7971.94,7.97194,,00:15.400
19:44.3,->,current ,ma,7925.86,7.92586,,00:15.500
19:44.4,->,current ,ma,7925.86,7.92586,,00:15.600
19:44.5,->,current ,ma,7948.9,7.9489,,00:15.700
19:44.7,->,current ,ma,7948.9,7.9489,,00:15.800
19:44.7,->,current ,ma,7971.94,7.97194,,00:15.900
19:44.9,->,current ,ma,7948.9,7.9489,,00:16.000
19:45.0,->,current ,ma,7902.82,7.90282,,00:16.100
19:45.1,->,current ,ma,7948.9,7.9489,,00:16.200
19:45.2,->,current ,ma,7925.86,7.92586,,00:16.300
19:45.4,->,current ,ma,7948.9,7.9489,,00:16.400
19:45.5,->,current ,ma,7902.82,7.90282,,00:16.500
19:45.6,->,current ,ma,7948.9,7.9489,,00:16.600
19:45.7,->,current ,ma,7948.9,7.9489,,00:16.700
19:45.9,->,current ,ma,7925.86,7.92586,,00:16.800
19:45.9,->,current ,ma,7925.86,7.92586,,00:16.900
19:46.1,->,current ,ma,8041.06,8.04106,,00:17.000
19:46.2,->,current ,ma,7948.9,7.9489,,00:17.100
19:46.4,->,current ,ma,7948.9,7.9489,,00:17.200
19:46.5,->,current ,ma,7925.86,7.92586,,00:17.300
19:46.6,->,current ,ma,7971.94,7.97194,,00:17.400
19:46.7,->,current ,ma,7971.94,7.97194,,00:17.500
19:46.8,->,current ,ma,7925.86,7.92586,,00:17.600
19:46.9,->,current ,ma,7948.9,7.9489,,00:17.700
19:47.1,->,current ,ma,7925.86,7.92586,,00:17.800
19:47.2,->,current ,ma,7948.9,7.9489,,00:17.900
19:47.3,->,current ,ma,8018.02,8.01802,,00:18.000
19:47.4,->,current ,ma,7902.82,7.90282,,00:18.100
19:47.5,->,current ,ma,7925.86,7.92586,,00:18.200
19:47.7,->,current ,ma,7948.9,7.9489,,00:18.300
19:47.8,->,current ,ma,7948.9,7.9489,,00:18.400
19:47.9,->,current ,ma,7948.9,7.9489,,00:18.500
19:48.0,->,current ,ma,7971.94,7.97194,,00:18.600
19:48.2,->,current ,ma,7994.98,7.99498,,00:18.700
19:48.3,->,current ,ma,7971.94,7.97194,,00:18.800
19:48.4,->,current ,ma,7971.94,7.97194,,00:18.900
19:48.5,->,current ,ma,7994.98,7.99498,,00:19.000
19:48.6,->,current ,ma,7971.94,7.97194,,00:19.100
19:48.8,->,current ,ma,7902.82,7.90282,,00:19.200
19:48.9,->,current ,ma,7971.94,7.97194,,00:19.300
19:49.0,->,current ,ma,7925.86,7.92586,,00:19.400
19:49.1,->,current ,ma,7925.86,7.92586,,00:19.500
19:49.3,->,current ,ma,7994.98,7.99498,,00:19.600
19:49.3,->,current ,ma,7925.86,7.92586,,00:19.700
19:49.5,->,current ,ma,7925.86,7.92586,,00:19.800
19:49.6,->,current ,ma,7994.98,7.99498,,00:19.900
19:49.7,->,current ,ma,7948.9,7.9489,,00:20.000
19:49.9,->,current ,ma,7948.9,7.9489,,00:20.100
19:50.0,->,current ,ma,7925.86,7.92586,,00:20.200
19:50.1,->,current ,ma,7994.98,7.99498,,00:20.300
19:50.2,->,current ,ma,7948.9,7.9489,,00:20.400
19:50.3,->,current ,ma,7925.86,7.92586,,00:20.500
19:50.4,->,current ,ma,7971.94,7.97194,,00:20.600
19:50.6,->,current ,ma,7902.82,7.90282,,00:20.700
