TimeStamp_n,,Specification,Unit,Value_mA,Value_A,,TimeStamp_N
20:20.2,->,current ,ma,7879.78,7.87978,,00:45.200
20:20.4,->,current ,ma,7879.78,7.87978,,00:45.300
20:20.5,->,current ,ma,7925.86,7.92586,,00:45.400
20:20.6,->,current ,ma,7948.9,7.9489,,00:45.500
20:20.8,->,current ,ma,7902.82,7.90282,,00:45.600
20:20.8,->,current ,ma,7902.82,7.90282,,00:45.700
20:21.0,->,current ,ma,7902.82,7.90282,,00:45.800
20:21.1,->,current ,ma,8018.02,8.01802,,00:45.900
20:21.2,->,current ,ma,7879.78,7.87978,,00:46.000
20:21.4,->,current ,ma,7902.82,7.90282,,00:46.100
20:21.5,->,current ,ma,7948.9,7.9489,,00:46.200
20:21.6,->,current ,ma,7856.74,7.85674,,00:46.300
20:21.7,->,current ,ma,7971.94,7.97194,,00:46.400
20:21.8,->,current ,ma,7925.86,7.92586,,00:46.500
20:22.0,->,current ,ma,7948.9,7.9489,,00:46.600
20:22.1,->,current ,ma,7833.7,7.8337,,00:46.700
20:22.2,->,current ,ma,7925.86,7.92586,,00:46.800
20:22.3,->,current ,ma,7902.82,7.90282,,00:46.900
20:22.4,->,current ,ma,7902.82,7.90282,,00:47.000
20:22.6,->,current ,ma,7925.86,7.92586,,00:47.100
20:22.7,->,current ,ma,7856.74,7.85674,,00:47.200
20:22.8,->,current ,ma,7948.9,7.9489,,00:47.300
20:22.9,->,current ,ma,7856.74,7.85674,,00:47.400
20:23.1,->,current ,ma,7879.78,7.87978,,00:47.500
20:23.2,->,current ,ma,7902.82,7.90282,,00:47.600
20:23.3,->,current ,ma,7925.86,7.92586,,00:47.700
20:23.4,->,current ,ma,7879.78,7.87978,,00:47.800
20:23.5,->,current ,ma,7925.86,7.92586,,00:47.900
20:23.7,->,current ,ma,7971.94,7.97194,,00:48.000
20:23.8,->,current ,ma,7948.9,7.9489,,00:48.100
20:23.9,->,current ,ma,7971.94,7.97194,,00:48.200
20:24.0,->,current ,ma,7994.98,7.99498,,00:48.300
20:24.2,->,current ,ma,7971.94,7.97194,,00:48.400
20:24.2,->,current ,ma,7948.9,7.9489,,00:48.500
20:24.4,->,current ,ma,7856.74,7.85674,,00:48.600
20:24.5,->,current ,ma,7902.82,7.90282,,00:48.700
20:24.6,->,current ,ma,7902.82,7.90282,,00:48.800
20:24.7,->,current ,ma,7879.78,7.87978,,00:48.900
20:24.9,->,current ,ma,7902.82,7.90282,,00:49.000
20:25.0,->,current ,ma,7902.82,7.90282,,00:49.100
20:25.1,->,current ,ma,7925.86,7.92586,,00:49.200
20:25.2,->,current ,ma,7856.74,7.85674,,00:49.300
20:25.3,->,current ,ma,7948.9,7.9489,,00:49.400
20:25.5,->,current ,ma,7925.86,7.92586,,00:49.500
20:25.6,->,current ,ma,7948.9,7.9489,,00:49.600
20:25.7,->,current ,ma,7925.86,7.92586,,00:49.700
20:25.9,->,current ,ma,7856.74,7.85674,,00:49.800
20:25.9,->,current ,ma,7902.82,7.90282,,00:49.900
20:26.1,->,current ,ma,7925.86,7.92586,,00:50.000
20:26.2,->,current ,ma,7902.82,7.90282,,00:50.100
20:26.3,->,current ,ma,7879.78,7.87978,,00:50.200
20:26.4,->,current ,ma,7925.86,7.92586,,00:50.300
20:26.6,->,current ,ma,7856.74,7.85674,,00:50.400
20:26.7,->,current ,ma,7948.9,7.9489,,00:50.500
20:26.8,->,current ,ma,7879.78,7.87978,,00:50.600
20:26.9,->,current ,ma,7948.9,7.9489,,00:50.700
20:27.0,->,current ,ma,7856.74,7.85674,,00:50.800
20:27.2,->,current ,ma,7856.74,7.85674,,00:50.900
20:27.3,->,current ,ma,7879.78,7.87978,,00:51.000
20:27.4,->,current ,ma,7879.78,7.87978,,00:51.100
20:27.5,->,current ,ma,7856.74,7.85674,,00:51.200
20:27.7,->,current ,ma,7925.86,7.92586,,00:51.300
20:27.8,->,current ,ma,7925.86,7.92586,,00:51.400
20:27.9,->,current ,ma,7879.78,7.87978,,00:51.500
20:28.0,->,current ,ma,7902.82,7.90282,,00:51.600
20:28.1,->,current ,ma,7879.78,7.87978,,00:51.700
20:28.3,->,current ,ma,7879.78,7.87978,,00:51.800
20:28.4,->,current ,ma,7856.74,7.85674,,00:51.900
20:28.5,->,current ,ma,7856.74,7.85674,,00:52.000
20:28.6,->,current ,ma,7879.78,7.87978,,00:52.100
20:28.7,->,current ,ma,7879.78,7.87978,,00:52.200
20:28.9,->,current ,ma,7856.74,7.85674,,00:52.300
20:29.0,->,current ,ma,7925.86,7.92586,,00:52.400
20:29.1,->,current ,ma,7879.78,7.87978,,00:52.500
20:29.2,->,current ,ma,7902.82,7.90282,,00:52.600
20:29.4,->,current ,ma,7902.82,7.90282,,00:52.700
20:29.5,->,current ,ma,7925.86,7.92586,,00:52.800
20:29.6,->,current ,ma,7879.78,7.87978,,00:52.900
20:29.7,->,current ,ma,7879.78,7.87978,,00:53.000
20:29.8,->,current ,ma,7879.78,7.87978,,00:53.100
20:30.0,->,current ,ma,7925.86,7.92586,,00:53.200
20:30.1,->,current ,ma,7879.78,7.87978,,00:53.300
20:30.2,->,current ,ma,7879.78,7.87978,,00:53.400
20:30.3,->,current ,ma,7833.7,7.8337,,00:53.500
20:30.4,->,current ,ma,7902.82,7.90282,,00:53.600
20:30.6,->,current ,ma,7879.78,7.87978,,00:53.700
20:30.7,->,current ,ma,7925.86,7.92586,,00:53.800
20:30.8,->,current ,ma,7879.78,7.87978,,00:53.900
20:30.9,->,current ,ma,7902.82,7.90282,,00:54.000
20:31.0,->,current ,ma,7856.74,7.85674,,00:54.100
20:31.2,->,current ,ma,7833.7,7.8337,,00:54.200
20:31.3,->,current ,ma,7810.66,7.81066,,00:54.300
20:31.4,->,current ,ma,7879.78,7.87978,,00:54.400
20:31.5,->,current ,ma,7856.74,7.85674,,00:54.500
20:31.7,->,current ,ma,7902.82,7.90282,,00:54.600
20:31.8,->,current ,ma,7925.86,7.92586,,00:54.700
20:31.9,->,current ,ma,7879.78,7.87978,,00:54.800
20:32.0,->,current ,ma,7856.74,7.85674,,00:54.900
20:32.1,->,current ,ma,7856.74,7.85674,,00:55.000
20:32.3,->,current ,ma,7856.74,7.85674,,00:55.100
20:32.4,->,current ,ma,7879.78,7.87978,,00:55.200
20:32.5,->,current ,ma,7879.78,7.87978,,00:55.300
20:32.6,->,current ,ma,7879.78,7.87978,,00:55.400
20:32.7,->,current ,ma,7856.74,7.85674,,00:55.500
20:32.9,->,current ,ma,7902.82,7.90282,,00:55.600
20:33.0,->,current ,ma,7833.7,7.8337,,00:55.700
20:33.1,->,current ,ma,7856.74,7.85674,,00:55.800
20:33.2,->,current ,ma,7902.82,7.90282,,00:55.900
20:33.4,->,current ,ma,7925.86,7.92586,,00:56.000
20:33.5,->,current ,ma,7856.74,7.85674,,00:56.100
20:33.6,->,current ,ma,7879.78,7.87978,,00:56.200
20:33.7,->,current ,ma,7902.82,7.90282,,00:56.300
20:33.8,->,current ,ma,7879.78,7.87978,,00:56.400
20:34.0,->,current ,ma,7902.82,7.90282,,00:56.500
20:34.1,->,current ,ma,7879.78,7.87978,,00:56.600
20:34.2,->,current ,ma,7879.78,7.87978,,00:56.700
20:34.3,->,current ,ma,7810.66,7.81066,,00:56.800
20:34.4,->,current ,ma,7856.74,7.85674,,00:56.900
20:34.6,->,current ,ma,7879.78,7.87978,,00:57.000
20:34.7,->,current ,ma,7879.78,7.87978,,00:57.100
20:34.8,->,current ,ma,7833.7,7.8337,,00:57.200
20:34.9,->,current ,ma,7833.7,7.8337,,00:57.300
20:35.0,->,current ,ma,7925.86,7.92586,,00:57.400
20:35.2,->,current ,ma,7856.74,7.85674,,00:57.500
20:35.3,->,current ,ma,7833.7,7.8337,,00:57.600
20:35.4,->,current ,ma,7856.74,7.85674,,00:57.700
20:35.5,->,current ,ma,7879.78,7.87978,,00:57.800
20:35.6,->,current ,ma,7902.82,7.90282,,00:57.900
20:35.8,->,current ,ma,7879.78,7.87978,,00:58.000
20:35.9,->,current ,ma,7856.74,7.85674,,00:58.100
20:36.0,->,current ,ma,7879.78,7.87978,,00:58.200
20:36.1,->,current ,ma,7856.74,7.85674,,00:58.300
20:36.2,->,current ,ma,7833.7,7.8337,,00:58.400
20:36.4,->,current ,ma,7925.86,7.92586,,00:58.500
20:36.5,->,current ,ma,7856.74,7.85674,,00:58.600
20:36.6,->,current ,ma,7879.78,7.87978,,00:58.700
20:36.7,->,current ,ma,7856.74,7.85674,,00:58.800
20:36.8,->,current ,ma,7833.7,7.8337,,00:58.900
20:37.0,->,current ,ma,7833.7,7.8337,,00:59.000
20:37.1,->,current ,ma,7879.78,7.87978,,00:59.100
20:37.2,->,current ,ma,7879.78,7.87978,,00:59.200
20:37.4,->,current ,ma,7856.74,7.85674,,00:59.300
20:37.5,->,current ,ma,7764.58,7.76458,,00:59.400
20:37.6,->,current ,ma,7856.74,7.85674,,00:59.500
20:37.7,->,current ,ma,7856.74,7.85674,,00:59.600
20:37.8,->,current ,ma,7810.66,7.81066,,00:59.700
20:38.0,->,current ,ma,7902.82,7.90282,,00:59.800
20:38.1,->,current ,ma,7925.86,7.92586,,00:59.900
20:38.2,->,current ,ma,7879.78,7.87978,,01:00.000
20:38.3,->,current ,ma,7925.86,7.92586,,01:00.100
20:38.4,->,current ,ma,7856.74,7.85674,,01:00.200
20:38.6,->,current ,ma,7856.74,7.85674,,01:00.300
20:38.7,->,current ,ma,7925.86,7.92586,,01:00.400
20:38.8,->,current ,ma,7833.7,7.8337,,01:00.500
20:38.9,->,current ,ma,7925.86,7.92586,,01:00.600
20:39.0,->,current ,ma,7833.7,7.8337,,01:00.700
20:39.1,->,current ,ma,7879.78,7.87978,,01:00.800
20:39.3,->,current ,ma,7833.7,7.8337,,01:00.900
20:39.4,->,current ,ma,7833.7,7.8337,,01:01.000
20:39.5,->,current ,ma,7856.74,7.85674,,01:01.100
20:39.7,->,current ,ma,7856.74,7.85674,,01:01.200
20:39.7,->,current ,ma,7902.82,7.90282,,01:01.300
20:39.9,->,current ,ma,7902.82,7.90282,,01:01.400
20:40.0,->,current ,ma,7879.78,7.87978,,01:01.500
20:40.1,->,current ,ma,7856.74,7.85674,,01:01.600
20:40.3,->,current ,ma,7856.74,7.85674,,01:01.700
20:40.4,->,current ,ma,7902.82,7.90282,,01:01.800
20:40.5,->,current ,ma,7925.86,7.92586,,01:01.900
20:40.6,->,current ,ma,7879.78,7.87978,,01:02.000
20:40.8,->,current ,ma,7879.78,7.87978,,01:02.100
20:40.9,->,current ,ma,7856.74,7.85674,,01:02.200
20:41.0,->,current ,ma,7856.74,7.85674,,01:02.300
20:41.1,->,current ,ma,7879.78,7.87978,,01:02.400
20:41.2,->,current ,ma,7879.78,7.87978,,01:02.500
20:41.3,->,current ,ma,7948.9,7.9489,,01:02.600
20:41.5,->,current ,ma,7856.74,7.85674,,01:02.700
20:41.6,->,current ,ma,7925.86,7.92586,,01:02.800
20:41.7,->,current ,ma,7879.78,7.87978,,01:02.900
20:41.8,->,current ,ma,7879.78,7.87978,,01:03.000
20:41.9,->,current ,ma,7856.74,7.85674,,01:03.100
20:42.1,->,current ,ma,7879.78,7.87978,,01:03.200
20:42.2,->,current ,ma,7902.82,7.90282,,01:03.300
20:42.3,->,current ,ma,7902.82,7.90282,,01:03.400
20:42.4,->,current ,ma,7879.78,7.87978,,01:03.500
20:42.6,->,current ,ma,7856.74,7.85674,,01:03.600
20:42.7,->,current ,ma,7856.74,7.85674,,01:03.700
20:42.8,->,current ,ma,7902.82,7.90282,,01:03.800
20:42.9,->,current ,ma,7810.66,7.81066,,01:03.900
20:43.0,->,current ,ma,7833.7,7.8337,,01:04.000
20:43.2,->,current ,ma,7902.82,7.90282,,01:04.100
20:43.3,->,current ,ma,7810.66,7.81066,,01:04.200
20:43.4,->,current ,ma,7948.9,7.9489,,01:04.300
20:43.5,->,current ,ma,7856.74,7.85674,,01:04.400
20:43.6,->,current ,ma,7833.7,7.8337,,01:04.500
20:43.8,->,current ,ma,7856.74,7.85674,,01:04.600
20:43.9,->,current ,ma,7833.7,7.8337,,01:04.700
20:44.0,->,current ,ma,7856.74,7.85674,,01:04.800
20:44.1,->,current ,ma,7925.86,7.92586,,01:04.900
20:44.3,->,current ,ma,7902.82,7.90282,,01:05.000
20:44.4,->,current ,ma,7833.7,7.8337,,01:05.100
20:44.5,->,current ,ma,7856.74,7.85674,,01:05.200
20:44.6,->,current ,ma,7902.82,7.90282,,01:05.300
20:44.7,->,current ,ma,7879.78,7.87978,,01:05.400
20:44.9,->,current ,ma,7856.74,7.85674,,01:05.500
20:45.0,->,current ,ma,7833.7,7.8337,,01:05.600
20:45.1,->,current ,ma,7925.86,7.92586,,01:05.700
20:45.2,->,current ,ma,7833.7,7.8337,,01:05.800
20:45.3,->,current ,ma,7833.7,7.8337,,01:05.900
20:45.5,->,current ,ma,7787.62,7.78762,,01:06.000
20:45.6,->,current ,ma,7833.7,7.8337,,01:06.100
20:45.7,->,current ,ma,7925.86,7.92586,,01:06.200
20:45.8,->,current ,ma,7856.74,7.85674,,01:06.300
20:46.0,->,current ,ma,7902.82,7.90282,,01:06.400
20:46.1,->,current ,ma,7856.74,7.85674,,01:06.500
20:46.2,->,current ,ma,7856.74,7.85674,,01:06.600
20:46.3,->,current ,ma,7879.78,7.87978,,01:06.700
20:46.4,->,current ,ma,7856.74,7.85674,,01:06.800
20:46.6,->,current ,ma,7902.82,7.90282,,01:06.900
20:46.7,->,current ,ma,7925.86,7.92586,,01:07.000
20:46.8,->,current ,ma,7879.78,7.87978,,01:07.100
20:46.9,->,current ,ma,7879.78,7.87978,,01:07.200
20:47.0,->,current ,ma,7902.82,7.90282,,01:07.300
20:47.2,->,current ,ma,7879.78,7.87978,,01:07.400
20:47.3,->,current ,ma,7856.74,7.85674,,01:07.500
20:47.4,->,current ,ma,7948.9,7.9489,,01:07.600
20:47.5,->,current ,ma,7879.78,7.87978,,01:07.700
20:47.6,->,current ,ma,7856.74,7.85674,,01:07.800
20:47.8,->,current ,ma,7879.78,7.87978,,01:07.900
20:47.9,->,current ,ma,7856.74,7.85674,,01:08.000
20:48.0,->,current ,ma,7902.82,7.90282,,01:08.100
20:48.2,->,current ,ma,7902.82,7.90282,,01:08.200
20:48.2,->,current ,ma,7948.9,7.9489,,01:08.300
20:48.4,->,current ,ma,7879.78,7.87978,,01:08.400
20:48.5,->,current ,ma,7856.74,7.85674,,01:08.500
20:48.6,->,current ,ma,7902.82,7.90282,,01:08.600
20:48.7,->,current ,ma,7879.78,7.87978,,01:08.700
20:48.9,->,current ,ma,7856.74,7.85674,,01:08.800
20:49.0,->,current ,ma,7925.86,7.92586,,01:08.900
20:49.1,->,current ,ma,7879.78,7.87978,,01:09.000
20:49.2,->,current ,ma,7948.9,7.9489,,01:09.100
20:49.3,->,current ,ma,7902.82,7.90282,,01:09.200
20:49.5,->,current ,ma,7925.86,7.92586,,01:09.300
20:49.6,->,current ,ma,7948.9,7.9489,,01:09.400
20:49.7,->,current ,ma,7971.94,7.97194,,01:09.500
20:49.8,->,current ,ma,8041.06,8.04106,,01:09.600
20:49.9,->,current ,ma,7925.86,7.92586,,01:09.700
20:50.1,->,current ,ma,7833.7,7.8337,,01:09.800
20:50.2,->,current ,ma,7879.78,7.87978,,01:09.900
20:50.3,->,current ,ma,7902.82,7.90282,,01:10.000
20:50.4,->,current ,ma,7856.74,7.85674,,01:10.100
20:50.6,->,current ,ma,7948.9,7.9489,,01:10.200
20:50.7,->,current ,ma,7902.82,7.90282,,01:10.300
20:50.8,->,current ,ma,7879.78,7.87978,,01:10.400
20:50.9,->,current ,ma,7902.82,7.90282,,01:10.500
20:51.0,->,current ,ma,7925.86,7.92586,,01:10.600
20:51.2,->,current ,ma,7879.78,7.87978,,01:10.700
20:51.3,->,current ,ma,7925.86,7.92586,,01:10.800
20:51.4,->,current ,ma,7879.78,7.87978,,01:10.900
20:51.5,->,current ,ma,7902.82,7.90282,,01:11.000
20:51.7,->,current ,ma,7902.82,7.90282,,01:11.100
20:51.8,->,current ,ma,7902.82,7.90282,,01:11.200
20:51.9,->,current ,ma,7925.86,7.92586,,01:11.300
20:52.0,->,current ,ma,7925.86,7.92586,,01:11.400
20:52.1,->,current ,ma,7925.86,7.92586,,01:11.500
20:52.2,->,current ,ma,7925.86,7.92586,,01:11.600
20:52.4,->,current ,ma,7948.9,7.9489,,01:11.700
20:52.5,->,current ,ma,7879.78,7.87978,,01:11.800
20:52.6,->,current ,ma,7902.82,7.90282,,01:11.900
20:52.7,->,current ,ma,7925.86,7.92586,,01:12.000
20:52.8,->,current ,ma,7925.86,7.92586,,01:12.100
20:53.0,->,current ,ma,7925.86,7.92586,,01:12.200
20:53.1,->,current ,ma,7994.98,7.99498,,01:12.300
20:53.2,->,current ,ma,7925.86,7.92586,,01:12.400
20:53.3,->,current ,ma,7902.82,7.90282,,01:12.500
20:53.4,->,current ,ma,7902.82,7.90282,,01:12.600
20:53.6,->,current ,ma,7971.94,7.97194,,01:12.700
20:53.7,->,current ,ma,7925.86,7.92586,,01:12.800
20:53.8,->,current ,ma,7948.9,7.9489,,01:12.900
20:53.9,->,current ,ma,7948.9,7.9489,,01:13.000
20:54.0,->,current ,ma,7902.82,7.90282,,01:13.100
20:54.2,->,current ,ma,7971.94,7.97194,,01:13.200
20:54.3,->,current ,ma,7971.94,7.97194,,01:13.300
20:54.4,->,current ,ma,7925.86,7.92586,,01:13.400
20:54.6,->,current ,ma,7925.86,7.92586,,01:13.500
20:54.7,->,current ,ma,7971.94,7.97194,,01:13.600
20:54.8,->,current ,ma,7948.9,7.9489,,01:13.700
20:54.9,->,current ,ma,7948.9,7.9489,,01:13.800
20:55.0,->,current ,ma,7925.86,7.92586,,01:13.900
20:55.2,->,current ,ma,7879.78,7.87978,,01:14.000
20:55.3,->,current ,ma,7902.82,7.90282,,01:14.100
20:55.4,->,current ,ma,7833.7,7.8337,,01:14.200
20:55.5,->,current ,ma,7833.7,7.8337,,01:14.300
20:55.6,->,current ,ma,7856.74,7.85674,,01:14.400
20:55.8,->,current ,ma,7833.7,7.8337,,01:14.500
20:55.9,->,current ,ma,7879.78,7.87978,,01:14.600
20:56.0,->,current ,ma,7879.78,7.87978,,01:14.700
20:56.1,->,current ,ma,7879.78,7.87978,,01:14.800
20:56.2,->,current ,ma,7856.74,7.85674,,01:14.900
20:56.4,->,current ,ma,7902.82,7.90282,,01:15.000
20:56.5,->,current ,ma,7879.78,7.87978,,01:15.100
20:56.6,->,current ,ma,7902.82,7.90282,,01:15.200
20:56.7,->,current ,ma,7925.86,7.92586,,01:15.300
20:56.8,->,current ,ma,7833.7,7.8337,,01:15.400
20:57.0,->,current ,ma,7925.86,7.92586,,01:15.500
20:57.1,->,current ,ma,7902.82,7.90282,,01:15.600
20:57.2,->,current ,ma,7879.78,7.87978,,01:15.700
20:57.3,->,current ,ma,7902.82,7.90282,,01:15.800
20:57.5,->,current ,ma,7879.78,7.87978,,01:15.900
20:57.6,->,current ,ma,7925.86,7.92586,,01:16.000
20:57.7,->,current ,ma,7925.86,7.92586,,01:16.100
20:57.8,->,current ,ma,7902.82,7.90282,,01:16.200
20:57.9,->,current ,ma,7902.82,7.90282,,01:16.300
20:58.1,->,current ,ma,7925.86,7.92586,,01:16.400
20:58.2,->,current ,ma,7879.78,7.87978,,01:16.500
20:58.3,->,current ,ma,7879.78,7.87978,,01:16.600
20:58.4,->,current ,ma,7925.86,7.92586,,01:16.700
20:58.5,->,current ,ma,7925.86,7.92586,,01:16.800
20:58.7,->,current ,ma,7879.78,7.87978,,01:16.900
20:58.8,->,current ,ma,7810.66,7.81066,,01:17.000
20:58.9,->,current ,ma,7971.94,7.97194,,01:17.100
20:59.0,->,current ,ma,7856.74,7.85674,,01:17.200
20:59.1,->,current ,ma,7879.78,7.87978,,01:17.300
20:59.3,->,current ,ma,7971.94,7.97194,,01:17.400
20:59.4,->,current ,ma,7948.9,7.9489,,01:17.500
20:59.5,->,current ,ma,7971.94,7.97194,,01:17.600
20:59.6,->,current ,ma,7994.98,7.99498,,01:17.700
20:59.8,->,current ,ma,7879.78,7.87978,,01:17.800
20:59.9,->,current ,ma,7948.9,7.9489,,01:17.900
21:00.0,->,current ,ma,7902.82,7.90282,,01:18.000
21:00.1,->,current ,ma,7925.86,7.92586,,01:18.100
21:00.3,->,current ,ma,7902.82,7.90282,,01:18.200
21:00.3,->,current ,ma,7925.86,7.92586,,01:18.300
21:00.5,->,current ,ma,7856.74,7.85674,,01:18.400
21:00.6,->,current ,ma,7856.74,7.85674,,01:18.500
21:00.7,->,current ,ma,7879.78,7.87978,,01:18.600
21:00.9,->,current ,ma,7856.74,7.85674,,01:18.700
21:01.0,->,current ,ma,7971.94,7.97194,,01:18.800
21:01.1,->,current ,ma,7879.78,7.87978,,01:18.900
21:01.2,->,current ,ma,7971.94,7.97194,,01:19.000
21:01.3,->,current ,ma,7994.98,7.99498,,01:19.100
21:01.5,->,current ,ma,7902.82,7.90282,,01:19.200
21:01.6,->,current ,ma,7902.82,7.90282,,01:19.300
21:01.7,->,current ,ma,7902.82,7.90282,,01:19.400
21:01.8,->,current ,ma,7925.86,7.92586,,01:19.500
21:01.9,->,current ,ma,7902.82,7.90282,,01:19.600
21:02.1,->,current ,ma,7879.78,7.87978,,01:19.700
21:02.2,->,current ,ma,7902.82,7.90282,,01:19.800
21:02.3,->,current ,ma,7856.74,7.85674,,01:19.900
21:02.4,->,current ,ma,7833.7,7.8337,,01:20.000
21:02.6,->,current ,ma,7833.7,7.8337,,01:20.100
21:02.7,->,current ,ma,7971.94,7.97194,,01:20.200
21:02.8,->,current ,ma,7856.74,7.85674,,01:20.300
21:02.9,->,current ,ma,7902.82,7.90282,,01:20.400
21:03.0,->,current ,ma,7856.74,7.85674,,01:20.500
21:03.2,->,current ,ma,7833.7,7.8337,,01:20.600
21:03.3,->,current ,ma,7902.82,7.90282,,01:20.700
21:03.4,->,current ,ma,7856.74,7.85674,,01:20.800
21:03.5,->,current ,ma,7879.78,7.87978,,01:20.900
21:03.6,->,current ,ma,7971.94,7.97194,,01:21.000
21:03.8,->,current ,ma,7971.94,7.97194,,01:21.100
21:03.9,->,current ,ma,7948.9,7.9489,,01:21.200
21:04.0,->,current ,ma,7925.86,7.92586,,01:21.300
21:04.1,->,current ,ma,7879.78,7.87978,,01:21.400
21:04.2,->,current ,ma,7902.82,7.90282,,01:21.500
21:04.4,->,current ,ma,7879.78,7.87978,,01:21.600
21:04.5,->,current ,ma,7833.7,7.8337,,01:21.700
21:04.6,->,current ,ma,7925.86,7.92586,,01:21.800
21:04.7,->,current ,ma,7902.82,7.90282,,01:21.900
21:04.8,->,current ,ma,7856.74,7.85674,,01:22.000
21:05.0,->,current ,ma,7948.9,7.9489,,01:22.100
21:05.1,->,current ,ma,7879.78,7.87978,,01:22.200
21:05.2,->,current ,ma,7925.86,7.92586,,01:22.300
21:05.3,->,current ,ma,7879.78,7.87978,,01:22.400
21:05.4,->,current ,ma,7856.74,7.85674,,01:22.500
21:05.6,->,current ,ma,7856.74,7.85674,,01:22.600
21:05.7,->,current ,ma,7833.7,7.8337,,01:22.700
21:05.8,->,current ,ma,7948.9,7.9489,,01:22.800
21:06.0,->,current ,ma,7856.74,7.85674,,01:22.900
21:06.1,->,current ,ma,7787.62,7.78762,,01:23.000
21:06.2,->,current ,ma,7879.78,7.87978,,01:23.100
21:06.3,->,current ,ma,7856.74,7.85674,,01:23.200
21:06.4,->,current ,ma,7902.82,7.90282,,01:23.300
21:06.6,->,current ,ma,7902.82,7.90282,,01:23.400
21:06.7,->,current ,ma,7856.74,7.85674,,01:23.500
21:06.8,->,current ,ma,7879.78,7.87978,,01:23.600
21:06.9,->,current ,ma,7879.78,7.87978,,01:23.700
21:07.0,->,current ,ma,7902.82,7.90282,,01:23.800
21:07.1,->,current ,ma,7879.78,7.87978,,01:23.900
21:07.3,->,current ,ma,7879.78,7.87978,,01:24.000
21:07.4,->,current ,ma,7879.78,7.87978,,01:24.100
21:07.5,->,current ,ma,7902.82,7.90282,,01:24.200
21:07.6,->,current ,ma,7902.82,7.90282,,01:24.300
21:07.7,->,current ,ma,7948.9,7.9489,,01:24.400
21:07.9,->,current ,ma,7902.82,7.90282,,01:24.500
21:08.0,->,current ,ma,7856.74,7.85674,,01:24.600
21:08.1,->,current ,ma,7833.7,7.8337,,01:24.700
21:08.3,->,current ,ma,7810.66,7.81066,,01:24.800
21:08.4,->,current ,ma,7925.86,7.92586,,01:24.900
21:08.5,->,current ,ma,7902.82,7.90282,,01:25.000
21:08.6,->,current ,ma,7902.82,7.90282,,01:25.100
21:08.7,->,current ,ma,7856.74,7.85674,,01:25.200
21:08.9,->,current ,ma,7810.66,7.81066,,01:25.300
21:09.0,->,current ,ma,7810.66,7.81066,,01:25.400
21:09.1,->,current ,ma,7856.74,7.85674,,01:25.500
21:09.2,->,current ,ma,7856.74,7.85674,,01:25.600
21:09.3,->,current ,ma,7810.66,7.81066,,01:25.700
21:09.5,->,current ,ma,7902.82,7.90282,,01:25.800
21:09.6,->,current ,ma,7856.74,7.85674,,01:25.900
21:09.7,->,current ,ma,7902.82,7.90282,,01:26.000
21:09.8,->,current ,ma,7879.78,7.87978,,01:26.100
21:09.9,->,current ,ma,7856.74,7.85674,,01:26.200
21:10.0,->,current ,ma,7856.74,7.85674,,01:26.300
21:10.2,->,current ,ma,7879.78,7.87978,,01:26.400
21:10.3,->,current ,ma,7856.74,7.85674,,01:26.500
21:10.4,->,current ,ma,7833.7,7.8337,,01:26.600
21:10.6,->,current ,ma,7925.86,7.92586,,01:26.700
21:10.6,->,current ,ma,7833.7,7.8337,,01:26.800
21:10.8,->,current ,ma,7925.86,7.92586,,01:26.900
21:10.9,->,current ,ma,7856.74,7.85674,,01:27.000
21:11.0,->,current ,ma,7902.82,7.90282,,01:27.100
21:11.2,->,current ,ma,7879.78,7.87978,,01:27.200
21:11.3,->,current ,ma,7879.78,7.87978,,01:27.300
21:11.4,->,current ,ma,7833.7,7.8337,,01:27.400
21:11.5,->,current ,ma,7856.74,7.85674,,01:27.500
21:11.6,->,current ,ma,7856.74,7.85674,,01:27.600
21:11.8,->,current ,ma,7902.82,7.90282,,01:27.700
21:11.9,->,current ,ma,7856.74,7.85674,,01:27.800
21:12.0,->,current ,ma,7879.78,7.87978,,01:27.900
21:12.1,->,current ,ma,7856.74,7.85674,,01:28.000
21:12.2,->,current ,ma,7856.74,7.85674,,01:28.100
21:12.4,->,current ,ma,7948.9,7.9489,,01:28.200
21:12.5,->,current ,ma,7833.7,7.8337,,01:28.300
21:12.6,->,current ,ma,7879.78,7.87978,,01:28.400
21:12.7,->,current ,ma,7833.7,7.8337,,01:28.500
21:12.9,->,current ,ma,7879.78,7.87978,,01:28.600
21:12.9,->,current ,ma,7833.7,7.8337,,01:28.700
21:13.1,->,current ,ma,7856.74,7.85674,,01:28.800
21:13.2,->,current ,ma,7948.9,7.9489,,01:28.900
21:13.3,->,current ,ma,7879.78,7.87978,,01:29.000
21:13.5,->,current ,ma,7902.82,7.90282,,01:29.100
21:13.6,->,current ,ma,7833.7,7.8337,,01:29.200
21:13.7,->,current ,ma,7879.78,7.87978,,01:29.300
21:13.8,->,current ,ma,7879.78,7.87978,,01:29.400
21:13.9,->,current ,ma,7856.74,7.85674,,01:29.500
21:14.1,->,current ,ma,7879.78,7.87978,,01:29.600
21:14.2,->,current ,ma,7879.78,7.87978,,01:29.700
21:14.3,->,current ,ma,7879.78,7.87978,,01:29.800
21:14.4,->,current ,ma,7925.86,7.92586,,01:29.900
21:14.5,->,current ,ma,7902.82,7.90282,,01:30.000
21:14.6,->,current ,ma,7879.78,7.87978,,01:30.100
