TimeStamp,,,,Specification,Value_mA,Value_A,,TimeStamp_30
16:11:05.898 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:06.800
16:11:05.993 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:06.900
16:11:06.136 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:07.000
16:11:06.278 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:07.100
16:11:06.388 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:07.200
16:11:06.483 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:07.300
16:11:06.626 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:07.400
16:11:06.768 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:07.500
16:11:06.863 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:07.600
16:11:07.005 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:07.700
16:11:07.085 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:07.800
16:11:07.244 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:07.900
16:11:07.339 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:08.000
16:11:07.484 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:08.100
16:11:07.575 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:08.200
16:11:07.708 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:08.300
16:11:07.860 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:08.400
16:11:07.955 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:08.500
16:11:08.098 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:08.600
16:11:08.201 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:08.700
16:11:08.335 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:08.800
16:11:08.430 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:08.900
16:11:08.572 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:09.000
16:11:08.667 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:09.100
16:11:08.808 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:09.200
16:11:08.936 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:09.300
16:11:09.046 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:09.400
16:11:09.198 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:09.500
16:11:09.300 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:09.600
16:11:09.394 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:09.700
16:11:09.521 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:09.800
16:11:09.663 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:09.900
16:11:09.758 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:10.000
16:11:09.916 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:10.100
16:11:10.003 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:10.200
16:11:10.139 -> The value of current in ma : 9262.20,,,,current,9262.2,9.2622,,0:00:10.300
16:11:10.269 -> The value of current in ma : 9331.32,,,,current,9331.32,9.33132,,0:00:10.400
16:11:10.378 -> The value of current in ma : 9262.20,,,,current,9262.2,9.2622,,0:00:10.500
16:11:10.531 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:10.600
16:11:10.616 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:10.700
16:11:10.773 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:10.800
16:11:10.868 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:10.900
16:11:11.010 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:11.000
16:11:11.122 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:11.100
16:11:11.218 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:11.200
16:11:11.359 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:11.300
16:11:11.453 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:11.400
16:11:11.595 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:11.500
16:11:11.690 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:11.600
16:11:11.830 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:11.700
16:11:11.972 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:11.800
16:11:12.067 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:11.900
16:11:12.210 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:12.000
16:11:12.321 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:12.100
16:11:12.416 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:12.200
16:11:12.564 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:12.300
16:11:12.702 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:12.400
16:11:12.804 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:12.500
16:11:12.939 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:12.600
16:11:13.034 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:12.700
16:11:13.145 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:12.800
16:11:13.289 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:12.900
16:11:13.399 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:13.000
16:11:13.541 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:13.100
16:11:13.636 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:13.200
