TimeStamp,,,,Specification,Value_mA,Value_A,,TimeStamp_30
16:11:33.025 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:29.200
16:11:33.166 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:29.300
16:11:33.263 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:29.400
16:11:33.404 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:29.500
16:11:33.500 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:29.600
16:11:33.642 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:29.700
16:11:33.784 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:29.800
16:11:33.879 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:29.900
16:11:34.007 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:30.000
16:11:34.102 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:30.100
16:11:34.244 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:30.200
16:11:34.372 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:30.300
16:11:34.468 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:30.400
16:11:34.611 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:30.500
16:11:34.752 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:30.600
16:11:34.846 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:30.700
16:11:34.999 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:30.800
16:11:35.084 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:30.900
16:11:35.227 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:31.000
16:11:35.320 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:31.100
16:11:35.462 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:31.200
16:11:35.605 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:31.300
16:11:35.701 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:31.400
16:11:35.841 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:31.500
16:11:35.950 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:31.600
16:11:36.060 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:31.700
16:11:36.204 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:31.800
16:11:36.298 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:31.900
16:11:36.439 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:32.000
16:11:36.532 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:32.100
16:11:36.673 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:32.200
16:11:36.815 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:32.300
16:11:36.911 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:32.400
16:11:37.009 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:32.500
16:11:37.165 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:32.600
16:11:37.260 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:32.700
16:11:37.401 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:32.800
16:11:37.541 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:32.900
16:11:37.635 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:33.000
16:11:37.746 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:33.100
16:11:37.887 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:33.200
16:11:38.027 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:33.300
16:11:38.121 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:33.400
16:11:38.262 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:33.500
16:11:38.371 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:33.600
16:11:38.481 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:33.700
16:11:38.621 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:33.800
16:11:38.715 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:33.900
16:11:38.856 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:34.000
16:11:38.950 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:34.100
16:11:39.076 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:34.200
16:11:39.232 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:34.300
16:11:39.341 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:34.400
16:11:39.482 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:34.500
16:11:39.576 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:34.600
16:11:39.718 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:34.700
16:11:39.813 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:34.800
16:11:39.955 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:34.900
16:11:40.070 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:35.000
16:11:40.206 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:35.100
16:11:40.300 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:35.200
16:11:40.441 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:35.300
16:11:40.535 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:35.400
16:11:40.678 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:35.500
16:11:40.772 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:35.600
16:11:40.912 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:35.700
16:11:41.054 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:35.800
16:11:41.148 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:35.900
16:11:41.292 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:36.000
16:11:41.418 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:36.100
16:11:41.513 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:36.200
16:11:41.654 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:36.300
16:11:41.748 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:36.400
16:11:41.890 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:36.500
16:11:41.984 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:36.600
16:11:42.125 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:36.700
16:11:42.268 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:36.800
16:11:42.362 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:36.900
16:11:42.503 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:37.000
16:11:42.597 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:37.100
16:11:42.738 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:37.200
16:11:42.832 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:37.300
16:11:42.975 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:37.400
16:11:43.072 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:37.500
16:11:43.215 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:37.600
16:11:43.357 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:37.700
16:11:43.466 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:37.800
16:11:43.576 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:37.900
16:11:43.718 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:38.000
16:11:43.812 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:38.100
16:11:43.922 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:38.200
16:11:44.066 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:38.300
16:11:44.208 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:38.400
16:11:44.318 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:38.500
16:11:44.411 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:38.600
16:11:44.552 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:38.700
16:11:44.661 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:38.800
16:11:44.802 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:38.900
16:11:44.896 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:39.000
16:11:45.039 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:39.100
16:11:45.150 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:39.200
16:11:45.293 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:39.300
16:11:45.387 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:39.400
16:11:45.528 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:39.500
16:11:45.622 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:39.600
16:11:45.765 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:39.700
16:11:45.860 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:39.800
16:11:46.002 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:39.900
16:11:46.095 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:40.000
16:11:46.236 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:40.100
16:11:46.361 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:40.200
16:11:46.502 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:40.300
16:11:46.601 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:40.400
16:11:46.738 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:40.500
16:11:46.833 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:40.600
16:11:46.974 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:40.700
16:11:47.117 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:40.800
16:11:47.211 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:40.900
16:11:47.353 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:41.000
16:11:47.447 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:41.100
16:11:47.588 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:41.200
16:11:47.681 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:41.300
16:11:47.823 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:41.400
16:11:47.917 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:41.500
16:11:48.060 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:41.600
16:11:48.203 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:41.700
16:11:48.297 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:41.800
16:11:48.424 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:41.900
16:11:48.566 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:42.000
16:11:48.673 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:42.100
16:11:48.804 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:42.200
16:11:48.900 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:42.300
16:11:49.042 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:42.400
16:11:49.168 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:42.500
16:11:49.265 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:42.600
16:11:49.373 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:42.700
16:11:49.515 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:42.800
16:11:49.658 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:42.900
16:11:49.738 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:43.000
16:11:49.896 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:43.100
16:11:49.997 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:43.200
16:11:50.135 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:43.300
16:11:50.229 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:43.400
16:11:50.370 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:43.500
16:11:50.465 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:43.600
16:11:50.607 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:43.700
16:11:50.749 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:43.800
16:11:50.844 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:43.900
16:11:50.985 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:44.000
16:11:51.112 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:44.100
16:11:51.207 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:44.200
16:11:51.350 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:44.300
16:11:51.445 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:44.400
16:11:51.571 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:44.500
16:11:51.714 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:44.600
16:11:51.809 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:44.700
16:11:51.951 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:44.800
16:11:52.051 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:44.900
16:11:52.188 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:45.000
16:11:52.283 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:45.100
16:11:52.425 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:45.200
16:11:52.525 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:45.300
16:11:52.662 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:45.400
16:11:52.806 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:45.500
16:11:52.901 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:45.600
16:11:53.043 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:45.700
16:11:53.137 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:45.800
16:11:53.280 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:45.900
16:11:53.375 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:46.000
16:11:53.519 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:46.100
16:11:53.613 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:46.200
16:11:53.759 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:46.300
16:11:53.899 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:46.400
16:11:53.994 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:46.500
16:11:54.136 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:46.600
16:11:54.230 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:46.700
16:11:54.372 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:46.800
16:11:54.468 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:46.900
16:11:54.610 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:47.000
16:11:54.738 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:47.100
16:11:54.833 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:47.200
16:11:54.992 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:47.300
16:11:55.087 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:47.400
16:11:55.214 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:47.500
16:11:55.357 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:47.600
16:11:55.452 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:47.700
16:11:55.594 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:47.800
16:11:55.688 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:47.900
16:11:55.799 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:48.000
16:11:55.941 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:48.100
16:11:56.052 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:48.200
16:11:56.194 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:48.300
16:11:56.304 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:48.400
16:11:56.399 -> The value of current in ma : 8985.72,,,,current,8985.72,8.98572,,0:00:48.500
16:11:56.542 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:48.600
16:11:56.638 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:48.700
16:11:56.780 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:48.800
16:11:56.891 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:48.900
16:11:57.033 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:49.000
16:11:57.130 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:49.100
16:11:57.273 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:49.200
16:11:57.368 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:49.300
16:11:57.511 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:49.400
16:11:57.606 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:49.500
16:11:57.748 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:49.600
16:11:57.890 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:49.700
16:11:57.985 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:49.800
16:11:58.127 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:49.900
16:11:58.221 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:50.000
16:11:58.364 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:50.100
16:11:58.460 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:50.200
16:11:58.603 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:50.300
16:11:58.745 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:50.400
16:11:58.840 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:50.500
16:11:58.982 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:50.600
16:11:59.078 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:50.700
16:11:59.221 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:50.800
16:11:59.316 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:50.900
16:11:59.457 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:51.000
16:11:59.555 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:51.100
16:11:59.679 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:51.200
16:11:59.821 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:51.300
16:11:59.949 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:51.400
16:12:00.044 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:51.500
16:12:00.186 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:51.600
16:12:00.282 -> The value of current in ma : 8985.72,,,,current,8985.72,8.98572,,0:00:51.700
16:12:00.423 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:51.800
16:12:00.563 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:51.900
16:12:00.657 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:52.000
16:12:00.798 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:52.100
16:12:00.892 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:52.200
16:12:01.032 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:52.300
16:12:01.126 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:52.400
16:12:01.282 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:52.500
16:12:01.376 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:52.600
16:12:01.516 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:52.700
16:12:01.611 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:52.800
16:12:01.736 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:52.900
16:12:01.882 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:53.000
16:12:02.018 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:53.100
16:12:02.112 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:53.200
16:12:02.252 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:53.300
16:12:02.346 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:53.400
16:12:02.487 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:53.500
16:12:02.580 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:53.600
16:12:02.721 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:53.700
16:12:02.861 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:53.800
16:12:02.955 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:53.900
16:12:03.096 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:54.000
16:12:03.190 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:54.100
16:12:03.331 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:54.200
16:12:03.471 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:54.300
16:12:03.565 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:54.400
16:12:03.706 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:54.500
16:12:03.800 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:54.600
16:12:03.940 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:54.700
16:12:04.034 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:54.800
16:12:04.175 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:54.900
16:12:04.316 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:55.000
16:12:04.410 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:55.100
16:12:04.519 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:55.200
16:12:04.660 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:55.300
16:12:04.801 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:55.400
16:12:04.895 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:55.500
16:12:05.004 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:55.600
16:12:05.145 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:55.700
16:12:05.286 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:55.800
16:12:05.380 -> The value of current in ma : 8962.68,,,,current,8962.68,8.96268,,0:00:55.900
16:12:05.521 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:56.000
16:12:05.614 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:56.100
16:12:05.756 -> The value of current in ma : 8985.72,,,,current,8985.72,8.98572,,0:00:56.200
16:12:05.850 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:56.300
16:12:05.990 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:56.400
16:12:06.131 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:56.500
16:12:06.225 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:56.600
16:12:06.365 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:56.700
16:12:06.459 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:56.800
16:12:06.600 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:56.900
16:12:06.740 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:57.000
16:12:06.834 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:57.100
16:12:06.975 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:57.200
16:12:07.085 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:57.300
16:12:07.210 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:57.400
16:12:07.304 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:57.500
16:12:07.445 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:57.600
16:12:07.585 -> The value of current in ma : 9008.76,,,,current,9008.76,9.00876,,0:00:57.700
16:12:07.679 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:57.800
16:12:07.820 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:57.900
16:12:07.913 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:58.000
16:12:08.054 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:58.100
16:12:08.195 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:58.200
