F_mean,F_max,F_min,F_rms,F_std_dev,F_skewness,F_crest_factor,F_form_factor,fault_type
63.09322034,77,42,63.4392142,6.644819701,-0.467261642,1.213760305,1.005483852,0
62.39830508,77,42,62.77677699,6.912320019,-0.958235834,1.226568226,1.00606542,0
62.56779661,77,51,62.813485,5.573868846,-0.232980019,1.225851423,1.003926755,0
61.22033898,77,42,61.7120157,7.8076618,-0.587437547,1.24773108,1.008031264,0
61.83898305,77,42,62.16101291,6.346100948,-0.288968138,1.238718554,1.005207554,0
61.48305085,68,42,61.76259907,5.894707246,-0.790446795,1.100989936,1.004546753,0
63.11864407,77,51,63.38248167,5.801811523,-0.315283996,1.214846721,1.004180027,0
62.71186441,77,51,62.92920424,5.247875752,-0.339279487,1.22359723,1.003465689,0
61.37288136,77,42,61.74414129,6.78963087,-0.81504931,1.247081883,1.00604925,0
62.05084746,77,51,62.31576235,5.764387363,-0.359461161,1.23564243,1.004269319,0
62.55084746,68,51,62.77556202,5.329481714,-0.563356519,1.083224073,1.00359251,0
69.37288136,342,51,75.79108216,30.65378676,7.610873653,4.512404233,1.092517432,0
63.1779661,85,42,63.64713369,7.746663308,-0.797432717,1.335488263,1.007426127,0
63.55084746,77,42,63.86937146,6.397912931,-1.091481289,1.205585686,1.005012113,0
61.6440678,68,42,61.97046864,6.379086321,-0.647460922,1.09729685,1.005294927,0
63.55932203,77,51,63.84621354,6.071570817,-0.737583046,1.206022969,1.00451376,0
61.57627119,77,42,61.92135526,6.556013459,-0.506213371,1.243512835,1.005604173,0
63.88135593,77,51,64.08733448,5.15597652,-0.700965195,1.201485451,1.003224392,0
61.09322034,77,42,61.44178725,6.563284679,-0.523479663,1.253218753,1.005705492,0
61.01694915,77,51,61.35047967,6.415769902,-0.234963403,1.255083912,1.005466195,0
64.13559322,68,51,64.34072438,5.155555056,-1.073608275,1.056873398,1.003198398,0
60.93220339,68,51,61.17729168,5.493941984,-0.298105467,1.111523543,1.004022311,0
63.44067797,77,42,63.71759728,5.959324193,-0.832775401,1.208457369,1.004365012,0
65.44067797,77,51,65.62605931,4.950252299,-0.433370036,1.173314394,1.002832815,0
61.33898305,68,51,61.60137022,5.70383038,-0.384924143,1.103871549,1.004277658,0
61.41525424,68,42,61.82074963,7.099206975,-1.087462016,1.09995431,1.006602519,0
62.72033898,68,51,62.90691266,4.862002671,-0.414091288,1.080962284,1.002974692,0
64.24576271,77,51,64.48038724,5.519098837,-0.420581195,1.194161563,1.003651985,0
62.28813559,77,42,62.65401363,6.79001491,-0.824686631,1.228971546,1.00587396,0
62.74576271,77,51,63.08710685,6.581749489,-0.211395027,1.220534652,1.005440115,0
72.26271186,531,51,84.99715848,44.9414487,9.397354757,6.247267668,1.176224311,0
64.33898305,77,51,64.60295947,5.859057331,-0.149094716,1.191895861,1.0041029,0
63.50847458,77,42,63.76532717,5.741952023,-0.984371646,1.20755281,1.004044383,0
62.13559322,77,42,62.51874295,6.940424449,-0.779329195,1.23163065,1.006166349,0
62.30508475,77,51,62.5970433,6.06448041,-0.489984631,1.230090048,1.004685951,0
60.24576271,77,42,60.75757608,7.903192518,-0.347726932,1.267331664,1.008495425,0
61.8220339,77,51,62.02808276,5.073193091,-0.074486782,1.241373207,1.003332936,0
62.21186441,77,42,62.55472181,6.568315158,-0.7992649,1.230922267,1.005511126,0
62.72033898,77,51,62.96871701,5.611169559,-0.095954972,1.222829425,1.003960087,0
62.78813559,77,51,62.9964352,5.1405073,-0.30472021,1.222291385,1.003317499,0
60.83898305,77,42,61.26235607,7.22054327,-0.631615713,1.256889303,1.00695891,0
62.20338983,68,51,62.43070735,5.345433904,-0.48708391,1.089207585,1.003654423,0
68.05084746,342,51,74.66637661,30.85805591,7.58446202,4.580374936,1.097214501,0
63.88135593,77,42,64.30238417,7.377685797,-1.242617366,1.197467263,1.006590784,0
63.16101695,85,42,63.46445689,6.2250807,-0.409562105,1.339332347,1.004804228,0
63.47457627,77,42,63.79230069,6.386031584,-0.922007508,1.207042216,1.005005538,0
61.6440678,77,42,61.99138814,6.580891042,-0.52372858,1.242108014,1.005634287,0
63.1779661,77,42,63.52465156,6.655928988,-0.850221488,1.212127861,1.005487443,0
62.53389831,77,51,62.79958707,5.79519725,-0.490076534,1.226122712,1.004248716,0
60.94067797,68,42,61.28268758,6.492984212,-0.618946735,1.10961191,1.005612173,0
62.96610169,77,51,63.22826551,5.776362389,-0.433193009,1.217809778,1.004163571,0
62.8559322,68,51,63.12692353,5.86788365,-0.774213783,1.077194899,1.004311309,0
