test,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,max20,max21,max22,max23,max24,max25,max26,max27,max28,max29
41,8.0641,6.186,6.342,6.376,6.48,6.169,6.566,6.342,6.342,6.446,6.808,6.29,6.86,6.929,6.411,6.307,6.307,6.273,6.636,6.515,6.169,6.376,6.342,6.463,6.601,6.1,6.757,6.273,6.307,6.376
42,8.04106,6.204,6.376,6.376,6.463,6.186,6.636,6.376,6.342,6.463,6.826,6.307,6.86,6.929,6.428,6.29,6.29,6.29,6.653,6.515,6.186,6.359,6.342,6.463,6.601,6.134,6.739,6.255,6.29,6.376
43,8.04106,6.221,6.342,6.307,6.428,6.204,6.618,6.376,6.359,6.428,6.791,6.29,6.86,6.912,6.428,6.29,6.29,6.255,6.653,6.532,6.186,6.359,6.359,6.463,6.601,6.134,6.757,6.273,6.273,6.376
44,8.01802,6.204,6.342,6.342,6.48,6.169,6.584,6.376,6.342,6.463,6.791,6.307,6.826,6.929,6.428,6.307,6.29,6.273,6.653,6.549,6.169,6.376,6.325,6.446,6.601,6.117,6.722,6.255,6.307,6.394
45,8.01802,6.204,6.342,6.376,6.48,6.186,6.549,6.376,6.359,6.446,6.774,6.307,6.826,6.929,6.411,6.342,6.29,6.273,6.636,6.515,6.169,6.342,6.325,6.446,6.636,6.117,6.722,6.273,6.307,6.359
46,7.97194,6.221,6.342,6.428,6.446,6.186,6.636,6.376,6.359,6.446,6.843,6.29,6.843,6.929,6.428,6.273,6.273,6.29,6.67,6.532,6.186,6.359,6.376,6.428,6.636,6.134,6.739,6.255,6.29,6.359
47,7.99498,6.238,6.359,6.359,6.463,6.186,6.618,6.359,6.342,6.428,6.774,6.29,6.843,6.912,6.376,6.307,6.29,6.307,6.636,6.532,6.186,6.376,6.342,6.446,6.618,6.1,6.757,6.238,6.307,6.376
48,8.08714,6.204,6.342,6.342,6.446,6.204,6.653,6.394,6.359,6.428,6.808,6.307,6.843,6.929,6.411,6.29,6.273,6.29,6.636,6.515,6.204,6.359,6.342,6.446,6.636,6.1,6.739,6.255,6.273,6.359
49,8.0641,6.204,6.342,6.325,6.463,6.186,6.618,6.376,6.342,6.428,6.808,6.273,6.843,6.929,6.411,6.273,6.29,6.29,6.636,6.515,6.169,6.376,6.342,6.48,6.636,6.117,6.705,6.255,6.273,6.359
50,8.04106,6.204,6.342,6.376,6.411,6.186,6.636,6.359,6.342,6.428,6.791,6.307,6.826,6.929,6.394,6.307,6.307,6.273,6.636,6.515,6.186,6.359,6.325,6.48,6.653,6.134,6.722,6.255,6.273,6.359
51,7.99498,6.221,6.325,6.359,6.446,6.186,6.636,6.411,6.342,6.411,6.774,6.273,6.86,6.947,6.411,6.29,6.29,6.307,6.636,6.515,6.169,6.376,6.342,6.463,6.636,6.1,6.722,6.255,6.29,6.394
52,7.97194,6.204,6.342,6.325,6.446,6.186,6.566,6.376,6.359,6.428,6.808,6.29,6.826,6.929,6.411,6.307,6.273,6.273,6.653,6.515,6.186,6.359,6.342,6.446,6.636,6.1,6.687,6.255,6.307,6.376
53,7.99498,6.204,6.307,6.325,6.446,6.221,6.549,6.394,6.342,6.463,6.774,6.29,6.843,6.912,6.394,6.307,6.29,6.29,6.636,6.515,6.169,6.359,6.307,6.446,6.636,6.117,6.687,6.273,6.273,6.376
54,7.99498,6.186,6.307,6.342,6.463,6.169,6.601,6.376,6.325,6.446,6.774,6.29,6.843,6.929,6.394,6.307,6.273,6.273,6.636,6.497,6.186,6.342,6.359,6.463,6.636,6.1,6.705,6.273,6.273,6.394
55,8.01802,6.186,6.307,6.446,6.463,6.186,6.584,6.394,6.342,6.428,6.826,6.273,6.86,6.929,6.376,6.29,6.273,6.273,6.636,6.618,6.186,6.325,6.325,6.446,6.636,6.1,6.739,6.238,6.255,6.376
56,7.97194,6.204,6.325,6.394,6.463,6.186,6.566,6.376,6.342,6.428,6.878,6.29,6.843,6.964,6.394,6.273,6.29,6.255,6.67,6.497,6.186,6.359,6.325,6.48,6.636,6.152,6.705,6.255,6.273,6.376
57,8.01802,6.186,6.325,6.376,6.428,6.204,6.636,6.376,6.359,6.428,6.826,6.307,6.808,6.912,6.394,6.307,6.29,6.273,6.67,6.584,6.221,6.342,6.359,6.48,6.653,6.1,6.687,6.273,6.255,6.376
58,7.99498,6.204,6.342,6.376,6.446,6.204,6.601,6.394,6.342,6.446,6.808,6.273,6.86,6.929,6.394,6.29,6.29,6.273,6.636,6.566,6.186,6.325,6.342,6.48,6.636,6.134,6.705,6.255,6.29,6.394
59,8.04106,6.221,6.325,6.376,6.428,6.204,6.653,6.376,6.342,6.428,6.86,6.273,6.843,6.912,6.411,6.29,6.29,6.29,6.653,6.618,6.134,6.342,6.342,6.463,6.653,6.169,6.722,6.238,6.255,6.359
60,7.99498,6.204,6.325,6.376,6.428,6.186,6.636,6.394,6.342,6.463,6.843,6.273,6.843,6.929,6.394,6.29,6.29,6.255,6.653,6.601,6.169,6.342,6.325,6.463,6.653,6.083,6.67,6.255,6.29,6.376
61,7.92586,6.186,6.359,6.359,6.428,6.204,6.566,6.376,6.359,6.411,6.86,6.29,6.843,6.947,6.394,6.29,6.273,6.273,6.636,6.618,6.152,6.359,6.325,6.48,6.67,6.1,6.705,6.273,6.273,6.376
62,7.99498,6.204,6.307,6.359,6.428,6.204,6.618,6.394,6.359,6.428,6.895,6.29,6.791,6.929,6.411,6.307,6.29,6.273,6.636,6.618,6.204,6.342,6.325,6.48,6.618,6.1,6.687,6.255,6.273,6.376
63,7.92586,6.221,6.325,6.394,6.428,6.204,6.584,6.394,6.342,6.428,6.826,6.29,6.826,6.912,6.411,6.273,6.29,6.29,6.636,6.618,6.169,6.376,6.307,6.48,6.636,6.1,6.687,6.255,6.273,6.394
64,7.97194,6.221,6.307,6.307,6.446,6.186,6.584,6.394,6.325,6.428,6.808,6.273,6.808,6.929,6.376,6.273,6.29,6.255,6.636,6.601,6.186,6.359,6.325,6.446,6.618,6.1,6.705,6.255,6.29,6.376
65,7.9489,6.221,6.342,6.325,6.428,6.169,6.618,6.394,6.325,6.446,6.878,6.273,6.791,6.929,6.394,6.29,6.307,6.29,6.636,6.601,6.204,6.325,6.307,6.463,6.618,6.1,6.722,6.273,6.255,6.376
66,8.01802,6.221,6.325,6.428,6.428,6.204,6.618,6.394,6.325,6.463,6.826,6.29,6.826,6.929,6.376,6.273,6.29,6.273,6.636,6.584,6.169,6.307,6.342,6.463,6.601,6.117,6.705,6.238,6.29,6.359
67,7.97194,6.221,6.342,6.428,6.411,6.186,6.601,6.394,6.359,6.428,6.86,6.273,6.843,6.929,6.411,6.273,6.273,6.273,6.636,6.584,6.152,6.342,6.325,6.446,6.584,6.117,6.757,6.255,6.273,6.376
68,8.01802,6.238,6.359,6.463,6.428,6.221,6.653,6.394,6.359,6.446,6.826,6.29,6.86,6.912,6.394,6.29,6.29,6.255,6.618,6.601,6.169,6.342,6.307,6.48,6.584,6.117,6.739,6.238,6.29,6.359
69,8.0641,6.221,6.325,6.359,6.428,6.221,6.618,6.394,6.359,6.428,6.843,6.29,6.826,6.912,6.394,6.273,6.273,6.29,6.601,6.566,6.117,6.359,6.325,6.463,6.618,6.117,6.705,6.221,6.255,6.376
70,7.99498,6.238,6.307,6.428,6.428,6.186,6.566,6.394,6.359,6.446,6.912,6.29,6.878,6.912,6.394,6.29,6.29,6.29,6.601,6.601,6.152,6.359,6.325,6.463,6.601,6.1,6.687,6.186,6.29,6.394
71,7.97194,6.221,6.307,6.411,6.463,6.204,6.601,6.376,6.359,6.446,6.86,6.273,6.808,6.964,6.411,6.307,6.273,6.307,6.636,6.601,6.169,6.255,6.325,6.48,6.601,6.083,6.687,6.204,6.29,6.359
72,7.97194,6.204,6.325,6.428,6.428,6.204,6.584,6.359,6.376,6.446,6.843,6.29,6.826,6.912,6.411,6.273,6.273,6.255,6.636,6.584,6.152,6.238,6.325,6.48,6.584,6.065,6.705,6.238,6.307,6.376
73,7.97194,6.221,6.29,6.359,6.428,6.204,6.584,6.359,6.359,6.463,6.878,6.29,6.86,6.912,6.394,6.29,6.273,6.29,6.618,6.584,6.204,6.29,6.342,6.463,6.601,6.083,6.705,6.204,6.273,6.359
74,7.90282,6.221,6.325,6.376,6.428,6.186,6.636,6.376,6.342,6.463,6.86,6.29,6.843,6.912,6.411,6.307,6.29,6.29,6.618,6.601,6.204,6.29,6.307,6.48,6.584,6.117,6.705,6.204,6.273,6.359
75,7.97194,6.221,6.325,6.376,6.428,6.204,6.618,6.394,6.394,6.428,6.808,6.273,6.826,6.947,6.411,6.273,6.273,6.307,6.618,6.584,6.186,6.273,6.325,6.48,6.584,6.1,6.705,6.186,6.273,6.376
76,7.9489,6.221,6.325,6.394,6.428,6.204,6.618,6.376,6.359,6.446,6.826,6.273,6.826,6.929,6.394,6.29,6.307,6.29,6.618,6.566,6.152,6.238,6.307,6.463,6.601,6.117,6.705,6.204,6.273,6.359
77,7.97194,6.221,6.307,6.376,6.411,6.204,6.601,6.376,6.376,6.446,6.878,6.255,6.843,6.947,6.411,6.273,6.29,6.273,6.636,6.584,6.152,6.307,6.307,6.446,6.584,6.152,6.739,6.204,6.29,6.376
78,7.9489,6.204,6.307,6.428,6.411,6.186,6.566,6.394,6.359,6.428,6.912,6.273,6.843,6.912,6.394,6.29,6.273,6.29,6.636,6.584,6.186,6.273,6.325,6.463,6.584,6.117,6.687,6.204,6.307,6.359
79,7.9489,6.204,6.325,6.394,6.428,6.186,6.532,6.376,6.359,6.463,6.791,6.273,6.843,6.912,6.394,6.29,6.273,6.273,6.636,6.601,6.186,6.273,6.307,6.48,6.618,6.117,6.705,6.186,6.273,6.376
80,7.9489,6.238,6.307,6.428,6.428,6.186,6.584,6.411,6.376,6.428,6.808,6.29,6.826,6.912,6.394,6.29,6.29,6.255,6.618,6.584,6.169,6.238,6.307,6.497,6.566,6.117,6.67,6.186,6.29,6.394
81,7.9489,6.238,6.29,6.411,6.428,6.186,6.549,6.394,6.359,6.446,6.826,6.307,6.826,6.929,6.376,6.29,6.29,6.255,6.653,6.584,6.186,6.255,6.325,6.48,6.636,6.117,6.705,6.169,6.29,6.394
82,7.92586,6.221,6.325,6.359,6.411,6.204,6.601,6.411,6.359,6.428,6.912,6.273,6.826,6.895,6.411,6.273,6.29,6.273,6.601,6.584,6.186,6.307,6.342,6.446,6.618,6.1,6.705,6.204,6.29,6.376
83,8.04106,6.238,6.29,6.342,6.394,6.186,6.566,6.411,6.359,6.463,6.878,6.29,6.826,6.912,6.394,6.273,6.29,6.255,6.618,6.618,6.204,6.307,6.325,6.463,6.653,6.083,6.705,6.186,6.29,6.376
84,7.9489,6.221,6.325,6.376,6.394,6.186,6.549,6.394,6.359,6.446,6.826,6.29,6.808,6.929,6.394,6.273,6.273,6.273,6.601,6.584,6.169,6.29,6.325,6.463,6.618,6.117,6.653,6.169,6.273,6.376
85,7.97194,6.204,6.325,6.394,6.411,6.186,6.584,6.359,6.342,6.428,6.808,6.255,6.826,6.929,6.394,6.255,6.273,6.255,6.601,6.584,6.204,6.359,6.307,6.446,6.618,6.117,6.687,6.186,6.273,6.359
86,7.9489,6.204,6.342,6.359,6.394,6.186,6.584,6.376,6.376,6.446,6.912,6.29,6.808,6.929,6.394,6.29,6.273,6.273,6.636,6.584,6.221,6.307,6.307,6.446,6.618,6.1,6.705,6.169,6.273,6.359
87,7.9489,6.221,6.325,6.307,6.411,6.186,6.566,6.359,6.342,6.446,6.86,6.29,6.826,6.912,6.411,6.29,6.273,6.255,6.618,6.584,6.169,6.255,6.307,6.428,6.601,6.117,6.687,6.169,6.273,6.376
88,8.01802,6.221,6.29,6.273,6.394,6.186,6.566,6.394,6.359,6.446,6.843,6.273,6.808,6.929,6.394,6.273,6.255,6.29,6.618,6.566,6.186,6.238,6.307,6.48,6.601,6.083,6.687,6.169,6.29,6.394
89,7.9489,6.221,6.29,6.411,6.411,6.186,6.566,6.394,6.359,6.428,6.843,6.29,6.808,6.947,6.376,6.29,6.273,6.273,6.601,6.566,6.169,6.238,6.307,6.446,6.618,6.1,6.67,6.186,6.255,6.359
90,7.9489,6.204,6.307,6.411,6.428,6.204,6.532,6.359,6.376,6.446,6.826,6.273,6.826,6.912,6.411,6.29,6.273,6.238,6.601,6.584,6.134,6.204,6.29,6.446,6.618,6.083,6.653,6.204,6.29,6.342
91,7.99498,6.186,6.29,6.394,6.428,6.204,6.566,6.376,6.359,6.411,6.826,6.29,6.808,6.929,6.428,6.29,6.29,6.255,6.618,6.601,6.152,6.29,6.307,6.446,6.618,6.117,6.705,6.169,6.273,6.376
92,7.97194,6.204,6.29,6.376,6.411,6.204,6.566,6.394,6.359,6.428,6.826,6.29,6.791,6.929,6.394,6.273,6.255,6.29,6.618,6.566,6.152,6.325,6.29,6.446,6.636,6.1,6.67,6.169,6.255,6.376
93,7.99498,6.204,6.29,6.342,6.411,6.204,6.601,6.411,6.376,6.428,6.826,6.255,6.826,6.929,6.411,6.255,6.255,6.255,6.618,6.584,6.152,6.29,6.307,6.463,6.618,6.083,6.67,6.204,6.255,6.359
94,7.97194,6.186,6.325,6.342,6.411,6.204,6.463,6.394,6.359,6.446,6.826,6.307,6.808,6.929,6.411,6.29,6.273,6.255,6.584,6.584,6.169,6.273,6.307,6.463,6.618,6.083,6.67,6.186,6.255,6.359
95,7.92586,6.204,6.29,6.411,6.446,6.186,6.446,6.411,6.342,6.463,6.86,6.29,6.86,6.912,6.394,6.29,6.273,6.29,6.601,6.549,6.204,6.342,6.307,6.463,6.601,6.083,6.67,6.204,6.273,6.394
96,7.99498,6.255,6.29,6.428,6.428,6.186,6.532,6.376,6.359,6.428,6.826,6.29,6.791,6.912,6.411,6.273,6.29,6.273,6.584,6.566,6.186,6.359,6.29,6.463,6.601,6.117,6.653,6.221,6.273,6.376
97,7.99498,6.238,6.29,6.359,6.411,6.169,6.566,6.411,6.359,6.428,6.878,6.255,6.808,6.895,6.394,6.273,6.255,6.255,6.618,6.566,6.186,6.342,6.307,6.48,6.618,6.1,6.653,6.186,6.273,6.394
98,7.9489,6.238,6.29,6.376,6.411,6.186,6.549,6.394,6.342,6.446,6.86,6.29,6.808,6.929,6.411,6.29,6.307,6.29,6.601,6.584,6.204,6.273,6.325,6.463,6.618,6.083,6.653,6.186,6.29,6.376
99,7.99498,6.221,6.273,6.411,6.411,6.204,6.48,6.376,6.359,6.446,6.826,6.29,6.843,6.895,6.394,6.29,6.255,6.273,6.584,6.549,6.169,6.221,6.29,6.446,6.584,6.1,6.653,6.186,6.29,6.342
100,7.9489,6.221,6.29,6.342,6.411,6.204,6.463,6.376,6.359,6.428,6.826,6.255,6.808,6.895,6.394,6.29,6.273,6.307,6.618,6.566,6.186,6.238,6.307,6.463,6.584,6.1,6.653,6.204,6.307,6.359
101,7.97194,6.255,6.29,6.394,6.411,6.204,6.497,6.394,6.325,6.411,6.86,6.273,6.808,6.912,6.394,6.273,6.29,6.255,6.584,6.566,6.169,6.273,6.307,6.446,6.549,6.1,6.67,6.186,6.29,6.359
102,7.99498,6.255,6.29,6.411,6.394,6.204,6.532,6.394,6.359,6.463,6.86,6.273,6.791,6.895,6.411,6.273,6.273,6.255,6.601,6.566,6.169,6.29,6.325,6.446,6.601,6.117,6.653,6.186,6.29,6.376
103,7.9489,6.221,6.307,6.394,6.428,6.204,6.515,6.394,6.342,6.463,6.86,6.273,6.791,6.895,6.411,6.273,6.273,6.255,6.601,6.566,6.186,6.325,6.307,6.463,6.584,6.117,6.67,6.169,6.273,6.394
104,7.99498,6.204,6.29,6.394,6.394,6.186,6.549,6.394,6.325,6.463,6.843,6.273,6.808,6.912,6.394,6.255,6.273,6.238,6.601,6.549,6.169,6.29,6.307,6.446,6.566,6.117,6.653,6.204,6.273,6.342
105,7.9489,6.221,6.29,6.325,6.411,6.169,6.532,6.359,6.325,6.446,6.791,6.29,6.757,6.929,6.428,6.29,6.255,6.255,6.601,6.549,6.186,6.342,6.29,6.446,6.566,6.134,6.67,6.186,6.255,6.342
106,7.97194,6.221,6.273,6.325,6.808,6.186,6.497,6.359,6.307,6.446,6.808,6.273,6.774,6.878,6.394,6.29,6.255,6.273,6.566,6.566,6.169,6.342,6.29,6.428,6.566,6.1,6.618,6.204,6.273,6.325
107,7.97194,6.238,6.29,6.411,0.008,6.169,6.549,6.376,6.307,6.463,6.86,6.255,6.791,6.878,6.411,6.29,6.255,6.255,6.549,6.566,6.186,6.359,6.29,6.463,6.549,6.083,6.653,6.186,6.255,6.342
108,8.01802,6.221,6.307,6.411,0.009,6.186,6.515,6.376,6.342,6.428,6.826,6.255,6.791,6.947,6.376,6.273,6.255,6.221,6.601,6.566,6.186,6.342,6.307,6.446,6.566,6.083,6.618,6.204,6.238,6.359
109,7.97194,6.221,6.29,6.325,0.013,6.186,6.515,6.376,6.325,6.446,6.808,6.273,6.791,6.895,6.394,6.255,6.307,6.255,6.618,6.566,6.186,6.325,6.29,6.446,6.566,6.083,6.653,6.186,6.255,6.376
110,7.99498,6.221,6.29,6.376,0.009,6.221,6.549,6.376,6.342,6.446,6.843,6.255,6.826,6.895,6.411,6.273,6.255,6.238,6.618,6.566,6.186,6.307,6.307,6.446,6.566,6.083,6.636,6.186,6.273,6.411
