 P_mean,P_max, P_min, P_rms, P_std_dev, P_skewness, P_crest_factor, P_form_factor,fault_type
74.67681159,95.4,38.4,75.90103014,13.62665534,-0.844713684,1.256899937,1.016393557,0
73.35289855,93.9,39.2,74.21598767,11.32672824,-0.763238443,1.265226037,1.011766258,0
74.63695652,93.3,41.5,75.88432893,13.75233,-0.812739747,1.229502867,1.01671253,0
75.63550725,93.5,35.1,76.54066505,11.77917128,-0.793051893,1.221572872,1.011967366,0
74.45942029,95.4,38.4,75.66782097,13.51806381,-0.833359637,1.260773718,1.016228983,0
73.27826087,93.9,39.2,74.26033622,12.08104469,-0.78281191,1.26447044,1.013402001,0
74.90362319,93.3,44.1,76.05679276,13.24211601,-0.779215212,1.226714888,1.015395378,0
75.3826087,93.5,35.1,76.32611193,12.00760047,-0.894345772,1.22500672,1.012516192,0
73.86376812,95.4,39,75.05556782,13.37077073,-0.681612051,1.271058267,1.016135106,0
74.19855072,93.9,39.2,75.17158151,12.09969527,-0.904739682,1.24914227,1.013113879,0
74.72826087,93.3,44.1,75.87021384,13.16175054,-0.726730885,1.229731607,1.015281407,0
76.43188406,94.6,35.1,77.40944406,12.3079998,-0.922947827,1.222073109,1.01278995,0
72.41594203,95.4,39,73.56994897,13.026835,-0.716465115,1.296725108,1.015935813,0
74.63405797,93.9,39.2,75.6512244,12.40890601,-0.887318431,1.241222475,1.013628717,0
74.37753623,93.3,45,75.45352202,12.7433453,-0.661268466,1.236522796,1.014466543,0
76.74492754,94.6,35.1,77.69508592,12.15786113,-0.914743681,1.217580222,1.012380732,0
72.45942029,95.4,39,73.61316439,13.02921836,-0.754762952,1.295963851,1.015922624,0
74.4673913,93.9,39.2,75.50498928,12.51985963,-0.88505281,1.243626427,1.013933588,0
74.63043478,93.3,45,75.68275319,12.62267458,-0.708538746,1.232777562,1.014100392,0
76.89275362,94.6,35.1,77.85349303,12.23748363,-0.882526648,1.215102834,1.012494538,0
72.0326087,95.4,39,73.16345558,12.86052163,-0.719245485,1.303929663,1.015699097,0
74.33478261,93.9,39.2,75.42963416,12.85171835,-0.938719679,1.244868824,1.014728658,0
75.38985507,93.5,45,76.42038388,12.55335643,-0.696572476,1.223495555,1.01366933,0
76.24202899,94.6,35.1,77.19344513,12.12627485,-0.861141731,1.225492655,1.012478893,0
71.99130435,95.4,39,73.12310644,12.86233384,-0.710602756,1.304649168,1.015721372,0
74.81086957,93.9,39.2,75.92185294,12.98783645,-0.938131058,1.236798054,1.014850561,0
75.12826087,93.5,45,76.14298953,12.43461726,-0.624289041,1.227952837,1.013506617,0
75.79710145,94.6,35.1,76.84506905,12.69376502,-0.957088424,1.231048409,1.013825959,0
72.23043478,95.4,39,73.23419452,12.12754366,-0.735123419,1.302670162,1.013896631,0
74.72826087,93.9,39.2,75.94206268,13.57272377,-0.903337293,1.236468917,1.016242875,0
74.88623188,93.5,47,75.85236757,12.11185214,-0.560937863,1.232657635,1.012901379,0
76.3673913,94.6,35.1,77.35851929,12.38846982,-1.057147007,1.222877595,1.012978419,0
71.89130435,95.4,39,73.00049831,12.72345084,-0.748642538,1.306840394,1.015428764,0
74.65072464,93.9,41.5,75.78607669,13.11660922,-0.784715901,1.239013868,1.015208855,0
74.89855072,93.5,35.1,75.96361352,12.72204814,-0.767645355,1.230852452,1.014220072,0
76.75434783,94.6,38.4,77.65216898,11.81699333,-0.948810303,1.218253157,1.011697333,0
71.49130435,95.4,39,72.5838905,12.59220288,-0.741737006,1.314341231,1.015282784,0
75.65434783,93.9,41.5,76.75998873,13.02864402,-0.875928704,1.223293562,1.014614374,0
74.37826087,93.5,35.1,75.41594899,12.51296402,-0.740650646,1.239790804,1.013951498,0
75.7,94.6,38.4,76.81346689,13.07892382,-0.962535963,1.23155488,1.014708942,0
72.47173913,95.4,39.2,73.38714248,11.59716797,-0.767841543,1.299955234,1.012631177,0
74.91304348,93.9,41.5,76.14034334,13.66532094,-0.76931563,1.23324897,1.016382993,0
75.04710145,93.5,35.1,75.99118322,11.98471162,-0.797063766,1.230405898,1.012579857,0
75.30217391,94.6,38.4,76.50080562,13.53824249,-0.913464207,1.236588285,1.015917624,0
72.50217391,95.4,39.2,73.36336951,11.24880832,-0.811626262,1.300376477,1.011878204,0
75.23333333,93.9,41.5,76.46076004,13.69497928,-0.808946032,1.228080913,1.016314932,0
75.1115942,93.5,35.1,76.05282203,11.97157871,-0.749630578,1.229408686,1.012531059,0
75.29637681,95.4,38.4,76.52596367,13.71281786,-0.925959923,1.246635722,1.016329961,0
72.91231884,93.9,39.2,73.73982121,11.05625597,-0.805780296,1.27339609,1.011349281,0
74.55797101,93.3,41.5,75.83501639,13.9090099,-0.745012332,1.230302365,1.017128221,0
75.82463768,93.5,35.1,76.69179424,11.54213994,-0.836019736,1.219165635,1.011436343,0
74.67101449,95.4,38.4,75.89422846,13.62049338,-0.846155105,1.257012581,1.016381376,0
73.1,93.9,39.2,74.08621789,12.09203152,-0.797386168,1.267442214,1.013491353,0
74.94057971,93.3,44.1,76.08447917,13.1916067,-0.77012497,1.226268498,1.015264086,0
75.29565217,93.5,35.1,76.25698638,12.11429673,-0.880590019,1.226117166,1.01276746,0
74.58333333,95.4,39,75.73671453,13.21521233,-0.793640829,1.259626861,1.015464329,0
73.49710145,93.9,39.2,74.51256484,12.30428649,-0.779237005,1.260190146,1.013816373,0
74.93333333,93.3,44.1,76.04219557,12.98587854,-0.784965008,1.22695037,1.014797984,0
75.70507246,94.6,35.1,76.67471713,12.19970278,-0.885376836,1.233783489,1.012808186,0
73.34927536,95.4,39,74.49781341,13.07851219,-0.674311061,1.280574498,1.015658478,0
73.8,93.9,39.2,74.86028145,12.60048661,-0.879267338,1.254336721,1.014366957,0
74.7557971,93.3,45,75.86231951,12.9568065,-0.67548093,1.229859575,1.014801827,0
76.96666667,94.6,35.1,77.90517648,12.09998693,-0.976429026,1.214296717,1.012193718,0
72.40724638,95.4,39,73.54334914,12.92382306,-0.753509422,1.297194119,1.015690457,0
74.59855072,93.9,39.2,75.63101982,12.49958239,-0.869834125,1.241554064,1.013840337,0
74.63768116,93.3,45,75.69863974,12.67536379,-0.711964756,1.232518845,1.014214785,0
76.59130435,94.6,35.1,77.57874354,12.38324438,-0.851208619,1.219406189,1.012892315,0
72.51594203,95.4,39,73.64725759,12.90595543,-0.787611625,1.295363916,1.015600922,0
74.24782609,93.9,39.2,75.3043044,12.61554028,-0.911322415,1.246940673,1.014229081,0
74.74202899,93.3,45,75.79581075,12.6408838,-0.681438077,1.230938743,1.014098918,0
76.48913043,94.6,35.1,77.46978233,12.33215893,-0.836295266,1.221121283,1.012820801,0
72.30144928,95.4,39,73.41132085,12.76334273,-0.74481003,1.299527088,1.015350613,0
74.48043478,93.9,39.2,75.58705462,12.93367053,-0.940747295,1.242276213,1.01485786,0
75.37101449,93.5,45,76.3920779,12.49363168,-0.667608167,1.223948904,1.013547163,0
76.03043478,94.6,35.1,77.02669686,12.39346784,-0.896081629,1.228145615,1.013103464,0
72.10724638,95.4,39,73.17032047,12.47269507,-0.758247738,1.303807328,1.014742958,0
74.58913043,93.9,39.2,75.77238943,13.38713123,-0.909011779,1.239237679,1.015863692,0
75.19637681,93.5,47,76.17502301,12.21557824,-0.58961554,1.227436452,1.013014539,0
76.16376812,94.6,35.1,77.17963143,12.5264913,-1.020307712,1.225711995,1.013337881,0
71.63550725,95.4,39,72.7370612,12.65681664,-0.732057635,1.311573473,1.015377206,0
75.1442029,93.9,41.5,76.24780396,12.97289155,-0.87457257,1.231510878,1.014686443,0
75.16304348,93.5,47,76.12752887,12.12363967,-0.609749181,1.22820222,1.01283191,0
75.75652174,94.6,35.1,76.79423099,12.62770073,-0.97341218,1.231863368,1.013697953,0
71.87681159,95.4,39,72.98190564,12.69846413,-0.75109599,1.307173321,1.015374834,0
75.45144928,93.9,41.5,76.56737064,13.07208111,-0.857200813,1.226370962,1.014789926,0
74.68115942,93.5,35.1,75.72480305,12.57441819,-0.771737208,1.234734146,1.013974658,0
75.95507246,94.6,38.4,76.95551322,12.41348497,-0.919052584,1.229281647,1.01317148,0
71.96811594,95.4,39.2,72.98358958,12.17657788,-0.759567238,1.307143161,1.014110049,0
75.23405797,93.9,41.5,76.42673057,13.498221,-0.832945645,1.228627724,1.015852828,0
74.72826087,93.5,35.1,75.70548149,12.16881253,-0.741109423,1.235049275,1.013076989,0
75.66449275,94.6,38.4,76.83852021,13.42943059,-0.974123583,1.23115333,1.015516227,0
72.32173913,95.4,39.2,73.18324331,11.23690959,-0.786346334,1.303577099,1.011912105,0
75.53405797,93.9,41.5,76.73082964,13.54829963,-0.845608894,1.223758435,1.015844133,0
74.74347826,93.5,35.1,75.6947024,12.00603836,-0.734189499,1.235225148,1.012726517,0
75.39130435,94.6,38.4,76.58156588,13.49843721,-0.952664406,1.235284222,1.015787783,0
72.72391304,95.4,39.2,73.59802839,11.35058797,-0.780545767,1.296230376,1.012019641,0
75.05652174,93.3,41.5,76.29444108,13.7378265,-0.783876511,1.222893814,1.016493162,0
75.37681159,93.5,35.1,76.31001036,11.94098805,-0.792721845,1.225265199,1.012380449,0
74.78333333,95.4,38.4,76.00544365,13.62444981,-0.866592322,1.255173254,1.016342014,0
73.19130435,93.9,39.2,74.04541399,11.2549647,-0.75695947,1.268140658,1.011669551,0
74.69057971,93.3,41.5,75.94486415,13.79560857,-0.808996634,1.228522837,1.016793074,0
75.85797101,93.5,35.1,76.73413729,11.60482414,-0.818175519,1.218492881,1.011550088,0
74.27101449,95.4,38.4,75.50755025,13.65863916,-0.802072416,1.26344981,1.016648968,0
73.26014493,93.9,39.2,74.24117134,12.07306551,-0.78069097,1.264796855,1.013390997,0
74.8326087,93.3,44.1,75.97766691,13.18889802,-0.782163596,1.227992432,1.015301594,0
75.40434783,93.5,35.1,76.35120036,12.03075056,-0.888473515,1.224604192,1.012557002,0
74.03333333,95.4,39,75.22459126,13.38291935,-0.708198278,1.268202305,1.016090832,0
74.0384058,93.9,39.2,75.01323313,12.09794169,-0.876123024,1.251779134,1.013166509,0
74.71014493,93.3,44.1,75.84954501,13.14533744,-0.728691656,1.230066706,1.015250942,0
76.3826087,94.6,35.1,77.35136846,12.24819911,-0.942536907,1.222990645,1.012682989,0
72.76666667,95.4,39,73.90479971,12.96727117,-0.710450241,1.290849855,1.015640857,0
74.31014493,93.9,39.2,75.35714482,12.56365567,-0.878365365,1.246066318,1.014089596,0
74.42246377,93.3,45,75.50578296,12.79084423,-0.652550059,1.235666943,1.014556347,0
76.79855072,94.6,35.1,77.75096998,12.17663184,-0.921861039,1.216705078,1.012401526,0
72.44275362,95.4,39,73.59540047,13.02148639,-0.753052842,1.296276661,1.015911141,0
74.52826087,93.9,39.2,75.56574976,12.52427709,-0.898270263,1.242626458,1.013920745,0
74.59637681,93.3,45,75.64964774,12.62556443,-0.699996772,1.233317045,1.014119599,0
76.80942029,94.6,35.1,77.76604686,12.20452164,-0.873641106,1.21646919,1.012454547,0
72.13405797,95.4,39,73.27485432,12.92643699,-0.719754054,1.301947317,1.015814948,0
74.3673913,93.9,39.2,75.46038648,12.84353433,-0.947685753,1.244361504,1.014697237,0
75.3884058,93.5,45,76.41907532,12.55409941,-0.696189102,1.223516506,1.013671459,0
76.15724638,94.6,35.1,77.11108259,12.13507246,-0.839904268,1.226801607,1.012524563,0
72.01811594,95.4,39,73.15204882,12.87690875,-0.712622442,1.304132988,1.015745106,0
74.69782609,93.9,39.2,75.79533608,12.89857949,-0.950779508,1.238862506,1.014692663,0
75.34347826,93.5,45,76.36271474,12.48010947,-0.642516588,1.224419539,1.013527866,0
75.70797101,94.6,35.1,76.76482201,12.74037814,-0.932830579,1.2323353,1.013959574,0
72.16521739,95.4,39,73.16309555,12.08629345,-0.733504422,1.30393608,1.013827689,0
74.91376812,93.9,39.2,76.11651871,13.52692472,-0.939347112,1.23363498,1.016055134,0
74.92463768,93.5,47,75.88074167,12.05147604,-0.555082648,1.232196707,1.012760876,0
76.1615942,94.6,35.1,77.17847329,12.53261626,-1.017285288,1.225730388,1.013351599,0
71.82536232,95.4,39,72.92245584,12.64757016,-0.767910259,1.30823899,1.015274459,0
74.89130435,93.9,41.5,76.02157303,13.10790411,-0.81203081,1.235175704,1.015092122,0
74.7057971,93.5,35.1,75.78324066,12.77994419,-0.732343185,1.233782023,1.014422489,0
76.78695652,94.6,38.4,77.68661683,11.83165879,-0.951881402,1.217712958,1.011716317,0
71.67391304,95.4,39,72.7527578,12.52802001,-0.777255738,1.311290498,1.015052126,0
75.44782609,93.9,41.5,76.57452465,13.13520492,-0.838768484,1.226256388,1.01493348,0
74.42173913,93.5,35.1,75.46211354,12.53289825,-0.745262304,1.239032352,1.013979442,0
75.70724638,94.6,38.4,76.82069279,13.07942407,-0.964103181,1.231439038,1.014707263,0
72.40652174,95.4,39.2,73.3154802,11.55084733,-0.769377469,1.301225877,1.012553544,0
74.88913043,93.9,41.5,76.1130933,13.64441911,-0.771592236,1.233690498,1.016343665,0
75.10072464,93.5,35.1,76.0509283,12.02801776,-0.792821018,1.229439299,1.01265239,0
75.43405797,94.6,38.4,76.62465784,13.50416803,-0.94369314,1.234589526,1.01578332,0
72.34347826,95.4,39.2,73.20366368,11.22993235,-0.786972902,1.303213462,1.011890297,0
75.43550725,93.9,41.5,76.64760554,13.62663665,-0.845528851,1.225087194,1.016068007,0
74.98768116,93.5,35.1,75.94627248,12.07228504,-0.725620468,1.231133497,1.012783317,0
75.48115942,95.4,38.4,76.6734767,13.51816594,-0.949822106,1.244237305,1.015796224,0
72.67463768,93.9,39.2,73.5306586,11.22801542,-0.784959472,1.277018346,1.011778812,0
74.57971014,93.3,41.5,75.85786002,13.91708586,-0.74779876,1.229931875,1.017138038,0
75.88115942,93.5,35.1,76.7465337,11.53447736,-0.851768906,1.218296065,1.011404337,0
74.59710145,95.4,38.4,75.8206637,13.61575913,-0.831353074,1.258232194,1.016402276,0
73.05507246,93.9,39.2,74.03544294,12.05221046,-0.803062323,1.26831145,1.013419609,0
75.09710145,93.3,44.1,76.24066681,13.20332817,-0.795823347,1.223756348,1.015227823,0
75.33985507,93.5,35.1,76.29300355,12.06580219,-0.888829167,1.225538328,1.012651318,0
74.63115942,95.4,39,75.77194282,13.14647298,-0.794223245,1.259041229,1.015285618,0
73.20289855,93.9,39.2,74.22456721,12.31752619,-0.770547378,1.265079791,1.013956669,0
75.08043478,93.3,44.1,76.20249102,13.07619924,-0.783164513,1.224369424,1.014944722,0
75.56086957,94.6,35.1,76.51893012,12.11466768,-0.888465282,1.236295383,1.012679321,0
73.52463768,95.4,39,74.68729884,13.17490321,-0.676302455,1.277325616,1.015813219,0
73.85942029,93.9,39.2,74.91138146,12.55561431,-0.894485201,1.253481089,1.014242749,0
74.79710145,93.3,45,75.89359256,12.90104925,-0.676197998,1.229352793,1.01465954,0
76.72608696,94.6,35.1,77.68499193,12.21254772,-0.940372585,1.217738429,1.01249777,0
72.42391304,95.4,39,73.56298346,12.94230067,-0.749414277,1.296847892,1.015727822,0
74.62971014,93.9,39.2,75.66535161,12.52149923,-0.869047489,1.240990731,1.013877067,0
74.5826087,93.3,45,75.63677504,12.62981014,-0.715826595,1.233526944,1.014134211,0
76.83913043,94.6,35.1,77.80745279,12.28172599,-0.88412992,1.215821835,1.012601943,0
72.27681159,95.4,39,73.41603505,12.93012829,-0.758359801,1.299443642,1.01576195,0
74.30434783,93.9,39.2,75.36710158,12.65799923,-0.907707366,1.2459017,1.014302713,0
74.68985507,93.3,45,75.73838075,12.60472794,-0.681051945,1.231872124,1.014038395,0
76.58913043,94.6,35.1,77.57310857,12.36121014,-0.850346555,1.219494767,1.012847491,0
72.25507246,95.4,39,73.3630401,12.74824775,-0.737771966,1.300382316,1.015334116,0
74.40797101,93.9,39.2,75.50590677,12.87622752,-0.947788335,1.243611315,1.01475562,0
75.52391304,93.5,45,76.55013276,12.53796311,-0.685631238,1.221421788,1.01358801,0
76.18913043,94.6,35.1,77.14517418,12.15172142,-0.886932719,1.226259465,1.012548296,0
71.93768116,95.4,39,73.03509083,12.65921783,-0.744999813,1.306221419,1.015255005,0
74.70507246,93.9,39.2,75.86719852,13.27634042,-0.931225313,1.237689039,1.015556187,0
75.00652174,93.5,47,76.00760212,12.34020908,-0.563121849,1.23014011,1.013346578,0
76.23478261,94.6,35.1,77.24888536,12.52135491,-1.037858165,1.224613139,1.013302363,0
71.83478261,95.4,39,72.89209814,12.41526993,-0.732659462,1.308783839,1.014718713,0
74.90652174,93.9,41.5,76.06272821,13.25992924,-0.870927413,1.234507389,1.015435325,0
75.12173913,93.5,47,76.08489823,12.11193981,-0.60214745,1.228890387,1.01282131,0
75.74275362,94.6,35.1,76.77946538,12.62044968,-0.972689397,1.23210027,1.013687273,0
71.92318841,95.4,39,73.03278795,12.72859468,-0.751967744,1.306262607,1.015427563,0
75.40797101,93.9,41.5,76.52198652,13.05709563,-0.851383949,1.227098306,1.01477318,0
74.73913043,93.5,35.1,75.78518076,12.59386037,-0.780122496,1.233750439,1.01399602,0
76.21521739,94.6,38.4,77.14779013,12.00275456,-0.866488213,1.226217884,1.012236044,0
71.76594203,95.4,39,72.83676359,12.48895276,-0.790453713,1.30977813,1.014921027,0
75.37826087,93.9,41.5,76.5341091,13.29922197,-0.834860023,1.22690394,1.015333973,0
74.66594203,93.5,35.1,75.66324084,12.28891552,-0.761306177,1.235738768,1.01335681,0
75.55,94.6,38.4,76.74384411,13.53300507,-0.950080753,1.232672159,1.01580204,0
72.28913043,95.4,39.2,73.15041928,11.23297859,-0.778578754,1.30416204,1.0119145,0
75.47028986,93.9,41.5,76.66406628,13.52553362,-0.837838935,1.224824152,1.015817833,0
74.85289855,93.5,35.1,75.80614435,12.02760931,-0.753160049,1.233409255,1.012734922,0
75.46449275,94.6,38.4,76.64323098,13.43889551,-0.970307901,1.234290345,1.015619773,0
72.47463768,95.4,39.2,73.33778659,11.25950733,-0.793507027,1.300830096,1.011909669,0
75.31884058,93.9,41.5,76.55461629,13.7495988,-0.805985293,1.226575281,1.016407259,0
75.15,93.5,35.1,76.0916843,11.97754133,-0.762541103,1.228780791,1.012530729,0
74.85144928,95.4,38.4,76.08095564,13.67212111,-0.864721889,1.253927467,1.016425953,0
73.31884058,93.9,39.2,74.16726005,11.22690688,-0.788517186,1.266057286,1.011571643,0
74.51884058,93.3,41.5,75.77767826,13.80506916,-0.778973205,1.231233289,1.016892878,0
75.9557971,93.5,35.1,76.83472239,11.63063547,-0.833626743,1.21689774,1.011571537,0
74.41521739,95.4,38.4,75.62634069,13.52942132,-0.826027593,1.26146524,1.01627521,0
73.08478261,93.9,39.2,74.08889833,12.20074129,-0.750372927,1.267396359,1.013739053,0
74.75072464,93.3,44.1,75.88907905,13.14279935,-0.778555621,1.229425909,1.015228674,0
75.57536232,93.5,35.1,76.52123888,12.03805287,-0.91604745,1.221882988,1.012515674,0
74.05362319,95.4,39,75.241528,13.36573765,-0.712249024,1.267916834,1.016041144,0
73.98985507,93.9,39.2,74.97131335,12.13533352,-0.863368977,1.252479059,1.013264768,0
74.67173913,93.3,44.1,75.81371286,13.15693034,-0.71881313,1.230648078,1.015293252,0
76.2384058,94.6,35.1,77.19582618,12.16442895,-0.946087209,1.225454855,1.012558242,0
