TimeStamp,,,,TimeStamp,,,TimeStamp_45,Values_45
17:19:33.765 -> 68.4205.00,,,,19:33.8,->,,00:10.8,68.42
17:19:33.907 -> 68.4205.00,,,,19:33.9,->,,00:10.9,68.42
17:19:34.001 -> 68.4204.00,,,,19:34.0,->,,00:11.0,68.42
17:19:34.096 -> 66.4206.00,,,,19:34.1,->,,00:11.1,66.42
17:19:34.191 -> 70.3207.00,,,,19:34.2,->,,00:11.2,70.32
17:19:34.286 -> 72.3207.00,,,,19:34.3,->,,00:11.3,72.32
17:19:34.383 -> 72.3206.00,,,,19:34.4,->,,00:11.4,72.32
17:19:34.477 -> 70.3208.00,,,,19:34.5,->,,00:11.5,70.32
17:19:34.605 -> 74.3208.00,,,,19:34.6,->,,00:11.6,74.32
17:19:34.700 -> 74.3207.00,,,,19:34.7,->,,00:11.7,74.32
17:19:34.795 -> 72.3206.00,,,,19:34.8,->,,00:11.8,72.32
17:19:34.890 -> 70.3205.00,,,,19:34.9,->,,00:11.9,70.32
17:19:34.985 -> 68.4203.00,,,,19:35.0,->,,00:12.0,68.42
17:19:35.080 -> 64.5201.00,,,,19:35.1,->,,00:12.1,64.52
17:19:35.222 -> 60.6201.00,,,,19:35.2,->,,00:12.2,60.62
17:19:35.317 -> 60.6200.00,,,,19:35.3,->,,00:12.3,60.62
17:19:35.413 -> 58.6199.00,,,,19:35.4,->,,00:12.4,58.61
17:19:35.508 -> 56.7200.00,,,,19:35.5,->,,00:12.5,56.72
17:19:35.603 -> 58.6203.00,,,,19:35.6,->,,00:12.6,58.62
17:19:35.698 -> 64.5207.00,,,,19:35.7,->,,00:12.7,64.52
17:19:35.793 -> 72.3208.00,,,,19:35.8,->,,00:12.8,72.32
17:19:35.889 -> 74.3209.00,,,,19:35.9,->,,00:12.9,74.32
17:19:36.031 -> 76.2208.00,,,,19:36.0,->,,00:13.0,76.22
17:19:36.125 -> 74.3209.00,,,,19:36.1,->,,00:13.1,74.32
17:19:36.220 -> 76.2210.00,,,,19:36.2,->,,00:13.2,76.22
17:19:36.315 -> 78.2210.00,,,,19:36.3,->,,00:13.3,78.22
17:19:36.412 -> 78.2210.00,,,,19:36.4,->,,00:13.4,78.22
17:19:36.538 -> 78.2209.00,,,,19:36.5,->,,00:13.5,78.22
17:19:36.633 -> 76.2209.00,,,,19:36.6,->,,00:13.6,76.22
17:19:36.728 -> 76.2209.00,,,,19:36.7,->,,00:13.7,76.22
17:19:36.823 -> 76.2209.00,,,,19:36.8,->,,00:13.8,76.22
17:19:36.918 -> 76.2210.00,,,,19:36.9,->,,00:13.9,76.22
17:19:37.012 -> 78.2210.00,,,,19:37.0,->,,00:14.0,78.22
17:19:37.107 -> 78.2210.00,,,,19:37.1,->,,00:14.1,78.22
17:19:37.202 -> 78.2210.00,,,,19:37.2,->,,00:14.2,78.22
17:19:37.344 -> 78.2210.00,,,,19:37.3,->,,00:14.3,78.22
17:19:37.439 -> 78.2209.00,,,,19:37.4,->,,00:14.4,78.22
17:19:37.533 -> 76.2209.00,,,,19:37.5,->,,00:14.5,76.22
17:19:37.627 -> 76.2209.00,,,,19:37.6,->,,00:14.6,76.22
17:19:37.721 -> 76.2210.00,,,,19:37.7,->,,00:14.7,76.22
17:19:37.815 -> 78.2209.00,,,,19:37.8,->,,00:14.8,78.22
17:19:37.908 -> 76.2209.00,,,,19:37.9,->,,00:14.9,76.22
17:19:38.049 -> 76.2210.00,,,,19:38.0,->,,00:15.0,76.22
17:19:38.143 -> 78.2209.00,,,,19:38.1,->,,00:15.1,78.22
17:19:38.237 -> 76.2208.00,,,,19:38.2,->,,00:15.2,76.22
17:19:38.330 -> 74.3206.00,,,,19:38.3,->,,00:15.3,74.32
17:19:38.426 -> 70.3204.00,,,,19:38.4,->,,00:15.4,70.32
17:19:38.554 -> 66.4202.00,,,,19:38.6,->,,00:15.5,66.42
17:19:38.648 -> 62.5202.00,,,,19:38.6,->,,00:15.6,62.52
17:19:38.742 -> 62.5203.00,,,,19:38.7,->,,00:15.7,62.52
17:19:38.835 -> 64.5202.00,,,,19:38.8,->,,00:15.8,64.52
17:19:38.929 -> 62.5201.00,,,,19:38.9,->,,00:15.9,62.52
17:19:39.023 -> 60.6198.00,,,,19:39.0,->,,00:16.0,60.61
17:19:39.117 -> 54.7198.00,,,,19:39.1,->,,00:16.1,54.71
17:19:39.264 -> 54.7201.00,,,,19:39.3,->,,00:16.2,54.72
17:19:39.354 -> 60.6204.00,,,,19:39.4,->,,00:16.3,60.62
17:19:39.450 -> 66.4207.00,,,,19:39.5,->,,00:16.4,66.42
17:19:39.545 -> 72.3208.00,,,,19:39.5,->,,00:16.5,72.32
17:19:39.641 -> 74.3209.00,,,,19:39.6,->,,00:16.6,74.32
17:19:39.735 -> 76.2209.00,,,,19:39.7,->,,00:16.7,76.22
17:19:39.829 -> 76.2207.00,,,,19:39.8,->,,00:16.8,76.22
17:19:39.970 -> 72.3209.00,,,,19:40.0,->,,00:16.9,72.32
17:19:40.064 -> 76.2209.00,,,,19:40.1,->,,00:17.0,76.22
17:19:40.157 -> 76.2209.00,,,,19:40.2,->,,00:17.1,76.22
17:19:40.251 -> 76.2210.00,,,,19:40.3,->,,00:17.2,76.22
17:19:40.345 -> 78.2210.00,,,,19:40.3,->,,00:17.3,78.22
17:19:40.441 -> 78.2209.00,,,,19:40.4,->,,00:17.4,78.22
17:19:40.536 -> 76.2210.00,,,,19:40.5,->,,00:17.5,76.22
17:19:40.632 -> 78.2209.00,,,,19:40.6,->,,00:17.6,78.22
17:19:40.772 -> 76.2210.00,,,,19:40.8,->,,00:17.7,76.22
17:19:40.867 -> 78.2209.00,,,,19:40.9,->,,00:17.8,78.22
17:19:40.962 -> 76.2208.00,,,,19:41.0,->,,00:17.9,76.22
17:19:41.056 -> 74.3208.00,,,,19:41.1,->,,00:18.0,74.32
17:19:41.151 -> 74.3207.00,,,,19:41.2,->,,00:18.1,74.32
17:19:41.246 -> 72.3206.00,,,,19:41.2,->,,00:18.2,72.32
17:19:41.340 -> 70.3206.00,,,,19:41.3,->,,00:18.3,70.32
17:19:41.482 -> 70.3206.00,,,,19:41.5,->,,00:18.4,70.32
17:19:41.578 -> 70.3206.00,,,,19:41.6,->,,00:18.5,70.32
17:19:41.674 -> 70.3206.00,,,,19:41.7,->,,00:18.6,70.32
17:19:41.767 -> 70.3207.00,,,,19:41.8,->,,00:18.7,70.32
17:19:41.861 -> 72.3207.00,,,,19:41.9,->,,00:18.8,72.32
17:19:41.955 -> 72.3206.00,,,,19:42.0,->,,00:18.9,72.32
17:19:42.049 -> 70.3206.00,,,,19:42.0,->,,00:19.0,70.32
17:19:42.189 -> 70.3204.00,,,,19:42.2,->,,00:19.1,70.32
17:19:42.284 -> 66.4202.00,,,,19:42.3,->,,00:19.2,66.42
17:19:42.379 -> 62.5199.00,,,,19:42.4,->,,00:19.3,62.51
17:19:42.474 -> 56.7197.00,,,,19:42.5,->,,00:19.4,56.71
17:19:42.568 -> 52.8195.00,,,,19:42.6,->,,00:19.5,52.81
17:19:42.662 -> 48.9194.00,,,,19:42.7,->,,00:19.6,48.91
17:19:42.756 -> 46.9195.00,,,,19:42.8,->,,00:19.7,46.91
17:19:42.898 -> 48.9199.00,,,,19:42.9,->,,00:19.8,48.91
17:19:42.991 -> 56.7201.00,,,,19:43.0,->,,00:19.9,56.72
17:19:43.085 -> 60.6202.00,,,,19:43.1,->,,00:20.0,60.62
17:19:43.179 -> 62.5203.00,,,,19:43.2,->,,00:20.1,62.52
17:19:43.273 -> 64.5203.00,,,,19:43.3,->,,00:20.2,64.52
17:19:43.366 -> 64.5202.00,,,,19:43.4,->,,00:20.3,64.52
17:19:43.461 -> 62.5201.00,,,,19:43.5,->,,00:20.4,62.52
17:19:43.604 -> 60.6200.00,,,,19:43.6,->,,00:20.5,60.62
17:19:43.701 -> 58.6200.00,,,,19:43.7,->,,00:20.6,58.62
17:19:43.796 -> 58.6202.00,,,,19:43.8,->,,00:20.7,58.62
17:19:43.890 -> 62.5204.00,,,,19:43.9,->,,00:20.8,62.52
17:19:43.985 -> 66.4204.00,,,,19:44.0,->,,00:20.9,66.42
17:19:44.081 -> 66.4204.00,,,,19:44.1,->,,00:21.0,66.42
17:19:44.207 -> 66.4206.00,,,,19:44.2,->,,00:21.1,66.42
17:19:44.302 -> 70.3207.00,,,,19:44.3,->,,00:21.2,70.32
17:19:44.383 -> 72.3209.00,,,,19:44.4,->,,00:21.3,72.32
17:19:44.510 -> 76.2208.00,,,,19:44.5,->,,00:21.4,76.22
17:19:44.605 -> 74.3209.00,,,,19:44.6,->,,00:21.5,74.32
17:19:44.700 -> 76.2209.00,,,,19:44.7,->,,00:21.6,76.22
17:19:44.795 -> 76.2208.00,,,,19:44.8,->,,00:21.7,76.22
17:19:44.890 -> 74.3209.00,,,,19:44.9,->,,00:21.8,74.32
17:19:44.985 -> 76.2209.00,,,,19:45.0,->,,00:21.9,76.22
17:19:45.080 -> 76.2210.00,,,,19:45.1,->,,00:22.0,76.22
17:19:45.226 -> 78.2209.00,,,,19:45.2,->,,00:22.1,78.22
17:19:45.317 -> 76.2209.00,,,,19:45.3,->,,00:22.2,76.22
17:19:45.411 -> 76.2209.00,,,,19:45.4,->,,00:22.3,76.22
17:19:45.491 -> 76.2210.00,,,,19:45.5,->,,00:22.4,76.22
17:19:45.618 -> 78.2208.00,,,,19:45.6,->,,00:22.5,78.22
17:19:45.712 -> 74.3208.00,,,,19:45.7,->,,00:22.6,74.32
17:19:45.807 -> 74.3208.00,,,,19:45.8,->,,00:22.7,74.32
17:19:45.903 -> 74.3209.00,,,,19:45.9,->,,00:22.8,74.32
17:19:46.014 -> 76.2208.00,,,,19:46.0,->,,00:22.9,76.22
17:19:46.109 -> 74.3210.00,,,,19:46.1,->,,00:23.0,74.32
17:19:46.204 -> 78.2209.00,,,,19:46.2,->,,00:23.1,78.22
17:19:46.299 -> 76.2209.00,,,,19:46.3,->,,00:23.2,76.22
17:19:46.395 -> 76.2208.00,,,,19:46.4,->,,00:23.3,76.22
17:19:46.490 -> 74.3208.00,,,,19:46.5,->,,00:23.4,74.32
17:19:46.633 -> 74.3208.00,,,,19:46.6,->,,00:23.5,74.32
17:19:46.727 -> 74.3208.00,,,,19:46.7,->,,00:23.6,74.32
17:19:46.807 -> 74.3209.00,,,,19:46.8,->,,00:23.7,74.32
17:19:46.902 -> 76.2208.00,,,,19:46.9,->,,00:23.8,76.22
17:19:46.997 -> 74.3209.00,,,,19:47.0,->,,00:23.9,74.32
17:19:47.140 -> 76.2209.00,,,,19:47.1,->,,00:24.0,76.22
17:19:47.234 -> 76.2210.00,,,,19:47.2,->,,00:24.1,76.22
17:19:47.333 -> 78.2209.00,,,,19:47.3,->,,00:24.2,78.22
17:19:47.424 -> 76.2209.00,,,,19:47.4,->,,00:24.3,76.22
17:19:47.520 -> 76.2210.00,,,,19:47.5,->,,00:24.4,76.22
17:19:47.615 -> 78.2210.00,,,,19:47.6,->,,00:24.5,78.22
17:19:47.709 -> 78.2210.00,,,,19:47.7,->,,00:24.6,78.22
17:19:47.805 -> 78.2209.00,,,,19:47.8,->,,00:24.7,78.22
17:19:47.948 -> 76.2208.00,,,,19:47.9,->,,00:24.8,76.22
17:19:48.043 -> 74.3208.00,,,,19:48.0,->,,00:24.9,74.32
17:19:48.137 -> 74.3209.00,,,,19:48.1,->,,00:25.0,74.32
17:19:48.230 -> 76.2208.00,,,,19:48.2,->,,00:25.1,76.22
17:19:48.324 -> 74.3209.00,,,,19:48.3,->,,00:25.2,74.32
17:19:48.418 -> 76.2208.00,,,,19:48.4,->,,00:25.3,76.22
17:19:48.513 -> 74.3208.00,,,,19:48.5,->,,00:25.4,74.32
17:19:48.656 -> 74.3209.00,,,,19:48.7,->,,00:25.5,74.32
17:19:48.752 -> 76.2208.00,,,,19:48.8,->,,00:25.6,76.22
17:19:48.845 -> 74.3209.00,,,,19:48.8,->,,00:25.7,74.32
17:19:48.939 -> 76.2209.00,,,,19:48.9,->,,00:25.8,76.22
17:19:49.033 -> 76.2209.00,,,,19:49.0,->,,00:25.9,76.22
17:19:49.127 -> 76.2208.00,,,,19:49.1,->,,00:26.0,76.22
17:19:49.220 -> 74.3209.00,,,,19:49.2,->,,00:26.1,74.32
17:19:49.314 -> 76.2210.00,,,,19:49.3,->,,00:26.2,76.22
17:19:49.456 -> 78.2210.00,,,,19:49.5,->,,00:26.3,78.22
17:19:49.551 -> 78.2208.00,,,,19:49.6,->,,00:26.4,78.22
17:19:49.644 -> 74.3207.00,,,,19:49.6,->,,00:26.5,74.32
17:19:49.723 -> 72.3206.00,,,,19:49.7,->,,00:26.6,72.32
17:19:49.863 -> 70.3206.00,,,,19:49.9,->,,00:26.7,70.32
17:19:49.957 -> 70.3207.00,,,,19:50.0,->,,00:26.8,70.32
17:19:50.051 -> 72.3208.00,,,,19:50.1,->,,00:26.9,72.32
17:19:50.146 -> 74.3208.00,,,,19:50.1,->,,00:27.0,74.32
17:19:50.241 -> 74.3209.00,,,,19:50.2,->,,00:27.1,74.32
17:19:50.335 -> 76.2208.00,,,,19:50.3,->,,00:27.2,76.22
17:19:50.429 -> 74.3209.00,,,,19:50.4,->,,00:27.3,74.32
17:19:50.571 -> 76.2208.00,,,,19:50.6,->,,00:27.4,76.22
17:19:50.667 -> 74.3208.00,,,,19:50.7,->,,00:27.5,74.32
17:19:50.761 -> 74.3207.00,,,,19:50.8,->,,00:27.6,74.32
17:19:50.855 -> 72.3206.00,,,,19:50.9,->,,00:27.7,72.32
17:19:50.948 -> 70.3204.00,,,,19:50.9,->,,00:27.8,70.32
17:19:51.043 -> 66.4203.00,,,,19:51.0,->,,00:27.9,66.42
17:19:51.137 -> 64.5203.00,,,,19:51.1,->,,00:28.0,64.52
17:19:51.231 -> 64.5202.00,,,,19:51.2,->,,00:28.1,64.52
17:19:51.371 -> 62.5201.00,,,,19:51.4,->,,00:28.2,62.52
17:19:51.465 -> 60.6200.00,,,,19:51.5,->,,00:28.3,60.62
17:19:51.561 -> 58.6199.00,,,,19:51.6,->,,00:28.4,58.61
17:19:51.655 -> 56.7200.00,,,,19:51.7,->,,00:28.5,56.72
17:19:51.749 -> 58.6205.00,,,,19:51.7,->,,00:28.6,58.62
17:19:51.890 -> 68.4206.00,,,,19:51.9,->,,00:28.7,68.42
17:19:51.937 -> 70.3208.00,,,,19:51.9,->,,00:28.8,70.32
17:19:52.078 -> 74.3209.00,,,,19:52.1,->,,00:28.9,74.32
17:19:52.172 -> 76.2209.00,,,,19:52.2,->,,00:29.0,76.22
17:19:52.266 -> 76.2210.00,,,,19:52.3,->,,00:29.1,76.22
17:19:52.360 -> 78.2210.00,,,,19:52.4,->,,00:29.2,78.22
17:19:52.453 -> 78.2210.00,,,,19:52.5,->,,00:29.3,78.22
17:19:52.594 -> 78.2211.00,,,,19:52.6,->,,00:29.4,78.22
17:19:52.688 -> 80.1209.00,,,,19:52.7,->,,00:29.5,80.12
17:19:52.783 -> 76.2209.00,,,,19:52.8,->,,00:29.6,76.22
17:19:52.876 -> 76.2209.00,,,,19:52.9,->,,00:29.7,76.22
17:19:52.970 -> 76.2210.00,,,,19:53.0,->,,00:29.8,76.22
17:19:53.064 -> 78.2209.00,,,,19:53.1,->,,00:29.9,78.22
17:19:53.157 -> 76.2207.00,,,,19:53.2,->,,00:30.0,76.22
17:19:53.298 -> 72.3204.00,,,,19:53.3,->,,00:30.1,72.32
17:19:53.392 -> 66.4204.00,,,,19:53.4,->,,00:30.2,66.42
17:19:53.486 -> 66.4203.00,,,,19:53.5,->,,00:30.3,66.42
17:19:53.583 -> 64.5204.00,,,,19:53.6,->,,00:30.4,64.52
17:19:53.675 -> 66.4204.00,,,,19:53.7,->,,00:30.5,66.42
17:19:53.770 -> 66.4206.00,,,,19:53.8,->,,00:30.6,66.42
17:19:53.865 -> 70.3206.00,,,,19:53.9,->,,00:30.7,70.32
17:19:54.008 -> 70.3207.00,,,,19:54.0,->,,00:30.8,70.32
17:19:54.104 -> 72.3208.00,,,,19:54.1,->,,00:30.9,72.32
17:19:54.200 -> 74.3208.00,,,,19:54.2,->,,00:31.0,74.32
17:19:54.293 -> 74.3209.00,,,,19:54.3,->,,00:31.1,74.32
17:19:54.387 -> 76.2209.00,,,,19:54.4,->,,00:31.2,76.22
17:19:54.482 -> 76.2209.00,,,,19:54.5,->,,00:31.3,76.22
17:19:54.577 -> 76.2209.00,,,,19:54.6,->,,00:31.4,76.22
17:19:54.671 -> 76.2206.00,,,,19:54.7,->,,00:31.5,76.22
17:19:54.812 -> 70.3206.00,,,,19:54.8,->,,00:31.6,70.32
17:19:54.906 -> 70.3207.00,,,,19:54.9,->,,00:31.7,70.32
17:19:55.000 -> 72.3206.00,,,,19:55.0,->,,00:31.8,72.32
17:19:55.093 -> 70.3207.00,,,,19:55.1,->,,00:31.9,70.32
17:19:55.191 -> 72.3208.00,,,,19:55.2,->,,00:32.0,72.32
17:19:55.289 -> 74.3209.00,,,,19:55.3,->,,00:32.1,74.32
17:19:55.381 -> 76.2210.00,,,,19:55.4,->,,00:32.2,76.22
17:19:55.522 -> 78.2208.00,,,,19:55.5,->,,00:32.3,78.22
17:19:55.617 -> 74.3207.00,,,,19:55.6,->,,00:32.4,74.32
17:19:55.711 -> 72.3206.00,,,,19:55.7,->,,00:32.5,72.32
17:19:55.807 -> 70.3204.00,,,,19:55.8,->,,00:32.6,70.32
17:19:55.901 -> 66.4203.00,,,,19:55.9,->,,00:32.7,66.42
17:19:55.995 -> 64.5202.00,,,,19:56.0,->,,00:32.8,64.52
17:19:56.089 -> 62.5201.00,,,,19:56.1,->,,00:32.9,62.52
17:19:56.230 -> 60.6202.00,,,,19:56.2,->,,00:33.0,60.62
17:19:56.324 -> 62.5202.00,,,,19:56.3,->,,00:33.1,62.52
17:19:56.419 -> 62.5201.00,,,,19:56.4,->,,00:33.2,62.52
17:19:56.514 -> 60.6202.00,,,,19:56.5,->,,00:33.3,60.62
17:19:56.609 -> 62.5201.00,,,,19:56.6,->,,00:33.4,62.52
17:19:56.704 -> 60.6200.00,,,,19:56.7,->,,00:33.5,60.62
17:19:56.799 -> 58.6199.00,,,,19:56.8,->,,00:33.6,58.61
17:19:56.893 -> 56.7199.00,,,,19:56.9,->,,00:33.7,56.71
17:19:57.034 -> 56.7201.00,,,,19:57.0,->,,00:33.8,56.72
17:19:57.129 -> 60.6201.00,,,,19:57.1,->,,00:33.9,60.62
17:19:57.224 -> 60.6201.00,,,,19:57.2,->,,00:34.0,60.62
17:19:57.318 -> 60.6202.00,,,,19:57.3,->,,00:34.1,60.62
17:19:57.413 -> 62.5203.00,,,,19:57.4,->,,00:34.2,62.52
17:19:57.510 -> 64.5204.00,,,,19:57.5,->,,00:34.3,64.52
17:19:57.604 -> 66.4206.00,,,,19:57.6,->,,00:34.4,66.42
17:19:57.703 -> 70.3205.00,,,,19:57.7,->,,00:34.5,70.32
17:19:57.843 -> 68.4203.00,,,,19:57.8,->,,00:34.6,68.42
17:19:57.939 -> 64.5202.00,,,,19:57.9,->,,00:34.7,64.52
